,id,style,link,brand,description,day dress,category,price,color,Fabric,Outer Fabric,Lining,Care instructions,Collar,Collar.1,Cut,Fastening,Neckline,Pattern,Details,Length,Sleeve length,Total length,Fit,Our model's height,Jacket length,Q1,Q2,Q3,Q4,Q5
0,1,sporty,https://www.zalando.co.uk/tommy-hilfiger-interlock-hoodie-short-dress-day-dress-desert-sky-to121c0k7-k11.html,Tommy Hilfiger,INTERLOCK HOODIE SHORT DRESS , Day dress,summer-dresses,76.99,black,Sweat,"64% cotton, 36% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,Zip,Hooded,,Plain,"Inseam pockets, elasticated waist",Short,Long,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
1,2,edgy,https://www.zalando.co.uk/esprit-dresses-light-day-dress-light-khaki-es121c222-n11.html,Esprit,DRESSES LIGHT , Day dress,summer-dresses,43.99,army green,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button-down dresses,Low-cut v-neck,Plain,,Knee-length,Elbow length,"37.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
2,3,edgy,https://www.zalando.co.uk/twinset-coated-dress-cocktail-dress-party-dress-nero-tw321c07h-q11.html,TWINSET,COATED DRESS , Day dress,summer-dresses,244.99,black,Faux leather,"87% viscose, 13% polyester",,Hand wash only,,,Button,Waist accent,Low-cut v-neck,Plain,"Bust darts, inseam pockets, belt included",Calf-length,Elbow length,"46.5 "" (Size 8)",Slim Fit,,"17.5 "" (Size 8)",No,yes,No,No,No
3,4,girly,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-dress-day-dress-woodrose-ve121c22r-j12.html,Vero Moda,VMHENNA , Day dress,summer-dresses,21.69,pink,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,Wrap dress,Low-cut v-neck,Print,Bust darts,Knee-length,Elbow length,"39.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
4,5,trendy,https://www.zalando.co.uk/new-girl-order-dot-dress-day-dress-lilacyellow-nem21c01u-i11.html,NEW girl ORDER,DOT DRESS , Day dress,summer-dresses,36.99,white multi-coloured,,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Bodycon,spaghetti,Polka dot,,Extra short,Spaghetti straps,"31.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,Yes
5,6,trendy,https://www.zalando.co.uk/moss-copenhagen-petronia-dress-day-dress-pink-cosmos-m0y21c09z-j11.html,Moss Copenhagen,PETRONIA DRESS , Day dress,summer-dresses,74.99,pink,,100% cotton,,,Turn-down collar,,Button,Button-down dresses,,Plain,Bust darts,Short,Elbow length,"38.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)",No,No,No,No,No
6,7,sporty,https://www.zalando.co.uk/zign-day-dress-grey-zi121c026-c11.html,Zign,REDEZIGN  , Day dress,Cocktail Dresses,21.24,grey,Jersey,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,,Calf-length,Short,"42.5 "" (Size M)",Loose Fit,,,No,No,No,No,No
7,8,casual chic,https://www.zalando.co.uk/superdry-studios-long-sleeve-jersey-dress-blue-paint-strokes-su221d265-k11.html,Superdry,STUDIOS  , Day dress,summer-dresses,30.0,bright multi-coloured,,100% viscose,,"Do not bleach, do not tumble dry",,,Zip,,Crew neck,Polka dot,,Short,Long,,Regular Fit,,,No,No,No,No,No
8,9,girly,https://www.zalando.co.uk/only-petite-onlolivia-wrap-dress-day-dress-blue-op421c09z-k12.html,ONLY Petite,ONLOLIVIA WRAP DRESS , Day dress,summer-dresses,25.99,blue,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,Laces,Wrap dress,Low-cut v-neck,Floral,Bust darts,Short,Short,"38.0 "" (Size 8)",Slim Fit,,"14.5 "" (Size 8)",No,No,No,No,No
9,10,alternative,https://www.zalando.co.uk/superdry-day-dress-deep-green-su221c0nu-c11.html,Superdry,Day dress,,summer-dresses,64.99,blue,,100% viscose,,"Do not tumble dry, Do not bleach",,,Drawstring fastening,spaghetti,Print,"Adjustable straps, tassels",SU221C0NU-C11,Spaghetti straps,,Slim Fit,Slim fit,,No,Yes,No,No,Yes,
10,11,girly,https://www.zalando.co.uk/vero-moda-petite-vmnora-new-singlet-calf-dress-day-dress-granada-skysnow-white-vm021c0a7-k11.html,Vero Moda Petite,VMNORA NEW SINGLET CALF DRESS , Day dress,summer-dresses,34.99,pastel blue,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Laces,,spaghetti,Polka dot,Adjustable straps,Calf-length,Spaghetti straps,"39.5 "" (Size S)",Regular Fit,,,No,No,No,No,Yes
11,12,sporty,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-dark-grey-melange-jy121c0g3-c12.html,JDY,JDYMARY DRESS , Day dress,summer-dresses,25.99,grey,Sweat,"65% polyester, 35% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded,,Plain,,Knee-length,Long,"40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
12,13,alternative,https://www.zalando.co.uk/vila-petite-vietna-34-short-dress-day-dress-cement-vip21c03r-a11.html,VILA PETITE,VIETNA 3/4 SHORT DRESS , Day dress,summer-dresses,34.99,sand,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Striped,,Short,Elbow length,"33.5 "" (Size 8)",Loose Fit,,"13.0 "" (Size 8)",No,No,No,No,No
13,14,casual chic,https://www.zalando.co.uk/vero-moda-vmsunilla-nora-tie-shirt-dress-shirt-dress-blackblueyellow-ve121c365-q11.html,Vero Moda,VMSUNILLA NORA TIE SHIRT DRESS , Day dress,summer-dresses,34.99,black multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,Button,,Low-cut v-neck,Floral,"Bust darts, bow",Short,Long,"34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
