"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Burgundy,Burnt orange,Gold,Silver","Animal print,Large floral,Paisley,Polka dot","Low v-neck,Boat neckline (wide)","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar","Chiffon","Hooded dresses,Polo dresses,Pleated dresses","Short,Thigh length","Black,Blue,Green,Grey,Navy,Off-white,Sand,Stone,White",Regular fit,"Strapless,One shoulder,Elbow length","Ralph Lauren,NA-KD,Other options:","Scotch&soda, Pull&Bear",Negative,Positive,No,Yes,No,"â‚¬80-120,â‚¬120 - 200",180cm,15,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burgundy,Brown,Gold,Red","I don't like any of these prints (you prefer plain clothing)","Cowl neckline,Square neckline,Spaghetti straps","Peter pan collar,Volant/frill collar","I don't have a preference on materials","Hooded dresses,Polo dresses","Knee length,Maxi/long","Navy,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Yellow",Loose fit,"Strapless,Sleeveless,Short,Elbow length","Ralph Lauren,Diane von Furstenberg,Pinko",,Negative,Positive,Yes,No,No,â‚¬120 - 200,168,47,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Blue,Burgundy,Burnt orange,Dark green,Purple,Red,Yellow","Animal print,Small floral,Paisley,Polka dot","Cowl neckline,Square neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Standing collar","Jersey,Chiffon,Sweat,Lace","Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Gold,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Sand,Stone,White",Slim fit,"Short,Long","Other options:","EssentiÃ«le en Sandro en bash ",Neutral,Positive,Yes,Yes,Yes,â‚¬120 - 200,"180 cm ",52,4- Likely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Pastel purple,Pink,Purple","Animal print,Paisley,Polka dot","Cowl neckline,Square neckline,Spaghetti straps","Peter pan collar","I don't have a preference on materials","Bodycon dresses,Button down dresses","Short,Thigh length,Knee length","Army green,Black,Blue,Burgundy,Grey,Navy,Pastel blue,Red,White",Regular fit,"Short,Elbow length,Long","Mango,Ralph Lauren,Lacoste,Pinko,Tommy Hilfiger",,Neutral,Neutral,Yes,No,No,â‚¬80-120,168cm,22,5- Very likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Brown,Green,Purple","Paisley,Polka dot","I like every neckline","Peter pan collar","Chiffon","Bodycon dresses","Knee length","Black,Blue,Dark green,Electric blue,Navy,Off-white,Orange,Pastel blue,Pastel green,Pastel orange,Pastel purple,Pink,Red,Sand,Stone,White",Regular fit,"Elbow length","Mango,Ralph Lauren,NA-KD,Pinko,Tommy Hilfiger",,Positive,Positive,No,Yes,Neutral,â‚¬80-120,170,21,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,3- Neutral,3- Neutral,3- Neutral,3- Neutral,4- Likely to wear,3- Neutral,5- Very likely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burgundy,Grey,Silver,Yellow","Large floral,Striped","Cowl neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar","Denim,Jersey,Chiffon,Sweat,Lace","Bodycon dresses,Pleated dresses","Thigh length,Maxi/long","Blue,Electric blue,Gold,Navy,Off-white,Pastel pink,Red,White",Regular fit,"Short","Tommy Hilfiger,Other options:","Caroline biss",Neutral,Negative,No,No,Neutral,"â‚¬120 - 200,> â‚¬200",173,45,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Dark green,Electric blue,Gold,Green,Grey,Navy,Orange,Pink,Purple,Silver","I don't like any of these prints (you prefer plain clothing)","Cowl neckline,Low round neckline","Peter pan collar,Bow/shawl collar","Chiffon,Lace","Hooded dresses,Polo dresses,Pleated dresses","Short,Thigh length,Maxi/long","Black,Brown,Dusty pink,Off-white,Pastel green,Pastel pink,Pastel purple,Pastel yellow,Sand,Stone",Loose fit,"I like all sleeve lengths","Mango,NA-KD",,Neutral,Negative,No,Yes,Neutral,â‚¬40-80,163cm,24,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Grey,Orange,Silver","Animal print,Large floral,Paisley","Square neckline","I like every collar","Leather","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Calf length,Maxi/long","Black,Blue,Green,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Red,Sand",I don't have a preference,"Sleeveless,Short,One shoulder,Long","Mango,Yas",,Neutral,Negative,No,Yes,Yes,â‚¬120 - 200,"1,63 m ",25,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Army green,Burgundy,Burnt orange,Dusty pink,Grey","Checked,Paisley,Polka dot,Prints in general","Round neckline,Low round neckline,Boat neckline (wide)","Mandarin collar,Peter pan collar,Standing collar","I don't have a preference on materials","Bodycon dresses,Polo dresses,Button down dresses","Short,Thigh length,Maxi/long","Black,Brown,Off-white,Orange,Pink,Sand",I don't have a preference,"Strapless,Sleeveless,One shoulder,Long","Marlene Birger,Yas,NA-KD,Bruuns Bazaar,Other options:","Gestuz",Negative,Positive,No,Yes,No,> â‚¬200,172,23,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,5- Very likely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Electric blue,Gold,Green,Grey,Navy,Silver,Stone","Animal print,Checked","Henley neckline,Round neckline,Square neckline","Peter pan collar,Zip neck collar,Standing collar","Chiffon,Satin","Bodycon dresses,Hooded dresses,Polo dresses","Calf length,Maxi/long","Pastel blue,Pastel green,Pastel pink,Pastel purple,Pink,Purple,Red",Loose fit,"Elbow length,Long","Yas",,Neutral,Neutral,Yes,Neutral,No,â‚¬40-80,"1,68",46,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
