,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1670,0.09602192,6207,https://www.zalando.co.uk/ivy-and-oak-bridal-malea-occasion-wear-snow-white-iv521c02o-a11.html,IVY & OAK BRIDAL,MALEA , Occasion wear,Occasion dresses,654.99,white,,,,,100% viscose,100% polyester,"Do not tumble dry, Do not wash",Standing collar,,,Zip,Backless,Plain,Crochet Detailing,IV521C02O-A11,Long,Short,"71.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0.17012658,2458,https://www.zalando.co.uk/only-carmakoma-carlollimegan-34-knee-belt-dress-day-dress-marine-green-ona21c0in-m11.html,ONLY Carmakoma,CARLOLLIMEGAN 3/4 KNEE BELT DRESS , Day dress,summer-dresses,34.99,green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,Low-cut v-neck,Floral,"Belt included, bust darts",ONA21C0IN-M11,Knee-length,"21.5 "" (Size 14)","45.5 "" (Size 14)",Loose Fit,,"17.5 "" (Size 14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.014613993999999996,6709,https://www.zalando.co.uk/wal-g-anya-ruched-midi-dress-cocktail-dress-party-dress-wine-wg021c0re-g11.html,WAL G.,ANYA RUCHED MIDI DRESS , Shift dress,Cocktail Dresses,35.99,bordeaux,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,WG021C0RE-G11,Knee-length,Sleeveless,"43.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0.909822453,657,https://www.zalando.co.uk/yas-yasbalara-midi-dress-day-dress-blackbalara-y0121c1t2-t11.html,YAS,YASBALARA MIDI DRESS , Day dress,summer-dresses,55.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Floral,Bust darts,Y0121C1T2-T11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,0.49037955,351,https://www.zalando.co.uk/ichi-ihcunilla-day-dress-creme-brulee-ic221c0j3-a11.html,ICHI,IHCUNILLA , Day dress,summer-dresses,74.99,white multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Button,Low-cut v-neck,Floral,Belt included,IC221C0J3-A11,Knee-length,"15.5 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,,"15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,0.964609403,7250,https://www.zalando.co.uk/tommy-hilfiger-angela-fit-flare-dress-cocktail-dress-party-dress-desert-sky-to121c0j2-k11.html,Tommy Hilfiger,ANGELA FIT FLARE DRESS  , Cocktail dress / Party dress,Cocktail Dresses,139.99,black,,,,,"73% polyester, 21% viscose, 6% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,"Bust darts, border",TO121C0J2-K11,Knee-length,Short,"38.0 "" (Size 4)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 4","14.0 "" (Size 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,0.664997434,6684,https://www.zalando.co.uk/yas-yaswesla-maxi-dress-cocktail-dress-party-dress-star-white-y0121c1sm-a11.html,YAS,YASWESLA MAXI DRESS , Cocktail dress / Party dress,Cocktail Dresses,139.99,white,,,,,100% polyester,100% polyester,"Do not tumble dry, Do not wash",,,,Zip,Crew neck,Plain,Rhinestones,Y0121C1SM-A11,Long,Short,"64.0 "" (Size S)",Regular Fit,,"15.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,0.5089151510000001,2170,https://www.zalando.co.uk/jdy-jdyvenus-dress-day-dress-tourmaline-jy121c0km-l11.html,JDY,JDYVENUS DRESS , Day dress,summer-dresses,23.99,pastel blue,,,Sweat,,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,JY121C0KM-L11,Short,"23.5 "" (Size S)","33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,0.018649694,4484,https://www.zalando.co.uk/liu-jo-jeans-abito-day-dress-platano-l2521c083-n11.html,Liu Jo Jeans,ABITO , Day dress,summer-dresses,224.99,army green,,,,,"98% cotton, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,"Belt included, inseam pockets",L2521C083-N11,Short,Elbow length,"35.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,0.61232422,6489,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dressparty-dress-na521c0mb-q11.html,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee-length,Elbow length,"39.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
