,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1670,0.09602192,6207,https://www.zalando.co.uk/ivy-and-oak-bridal-malea-occasion-wear-snow-white-iv521c02o-a11.html,IVY & OAK BRIDAL,MALEA , Occasion wear,Occasion dresses,654.99,white,,,,,100% viscose,100% polyester,"Do not tumble dry, Do not wash",Standing collar,,,Zip,Backless,Plain,Crochet Detailing,IV521C02O-A11,Long,Short,"71.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0.17012658,2458,https://www.zalando.co.uk/only-carmakoma-carlollimegan-34-knee-belt-dress-day-dress-marine-green-ona21c0in-m11.html,ONLY Carmakoma,CARLOLLIMEGAN 3/4 KNEE BELT DRESS , Day dress,summer-dresses,34.99,green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,Low-cut v-neck,Floral,"Belt included, bust darts",ONA21C0IN-M11,Knee-length,"21.5 "" (Size 14)","45.5 "" (Size 14)",Loose Fit,,"17.5 "" (Size 14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.014613993999999996,6709,https://www.zalando.co.uk/wal-g-anya-ruched-midi-dress-cocktail-dress-party-dress-wine-wg021c0re-g11.html,WAL G.,ANYA RUCHED MIDI DRESS , Shift dress,Cocktail Dresses,35.99,bordeaux,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,WG021C0RE-G11,Knee-length,Sleeveless,"43.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0.909822453,657,https://www.zalando.co.uk/yas-yasbalara-midi-dress-day-dress-blackbalara-y0121c1t2-t11.html,YAS,YASBALARA MIDI DRESS , Day dress,summer-dresses,55.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Floral,Bust darts,Y0121C1T2-T11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,0.49037955,351,https://www.zalando.co.uk/ichi-ihcunilla-day-dress-creme-brulee-ic221c0j3-a11.html,ICHI,IHCUNILLA , Day dress,summer-dresses,74.99,white multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Button,Low-cut v-neck,Floral,Belt included,IC221C0J3-A11,Knee-length,"15.5 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,,"15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,0.712635384,3213,https://www.zalando.co.uk/dkny-day-dress-white-dk121c09s-a11.html,DKNY,FOUNDATION LOGO DRESS , Day dress,summer-dresses,89.99,white,,,Sweat,Semi-sheer,"60% cotton, 40% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,DK121C09S-A11,Knee-length,Extra short,"37.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0.304539502,7083,https://www.zalando.co.uk/filippa-k-oriana-dress-cocktail-dress-party-dress-black-f1421c06f-q11.html,Filippa K,ORIANA DRESS , Cocktail dress / Party dress,Cocktail Dresses,279.99,black,,Yes,Satin,,"86% triacetate, 14% polyester",,"Hand wash only, Dry cleanable",,,,Zip,Crew neck,Plain,,F1421C06F-Q11,Knee-length,"28.0 "" (Size 8)","39.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","16.0 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,0.050904183,588,https://www.zalando.co.uk/pieces-petite-pchember-day-dress-sky-captain-pit21c04b-k11.html,Pieces Petite,PCHEMBER  , Day dress,summer-dresses,30.99,black multi-coloured,,,Chiffon,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Turn-down collar,,,Button,,Floral,"Belt included, bust darts",PIT21C04B-K11,Knee-length,"22.5 "" (Size XS)","40.5 "" (Size XS)",Regular Fit,,"14.0 "" (Size XS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,0.9135148240000001,2342,https://www.zalando.co.uk/in-the-style-cocktail-dress-party-dress-grey-i0421c01m-c11.html,IN THE STYLE,CARYS WHITTAKER HOUNDSTOOTH BELTED MINI DRESS , Day dress,summer-dresses,33.99,grey,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,,Checked,"Belt included, inseam pockets, bust darts, adjustable straps",I0421C01M-C11,Short,Spaghetti straps,"34.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,0.578371462,532,https://www.zalando.co.uk/forever-new-destiny-pleated-midi-dress-day-dress-cyprus-patchwork-fod21c0g5-t11.html,Forever New,DESTINY PLEATED MIDI DRESS , Day dress,summer-dresses,119.99,pastel orange,,,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,,Zip,Cache-coeur,,Slip,FOD21C0G5-T11,Calf-length,"24.5 "" (Size 8)","43.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
