,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1121,0.499456522,793,https://www.zalando.co.uk/esprit-collection-day-dress-brown-es421c1k9-o11.html,Esprit Collection,MIT SCHLUPPE , Day dress,summer-dresses,49.99,black/white,,,Chiffon,,100% polyester,100% polyester,,,,,,V-neck,Print,,ES421C1K9-O11,Knee-length,"25.0 "" (Size 8)","39.5 "" (Size 8)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,0.5669928639999999,3892,https://www.zalando.co.uk/sand-copenhagen-linosa-day-dress-dark-bluenavy-saa21c02i-k11.html,Sand Copenhagen,LINOSA , Day dress,summer-dresses,279.99,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,Low-cut v-neck,Floral,Inseam pockets,SAA21C02I-K11,Calf-length,"19.5 "" (Size 8)","43.0 "" (Size 8)",Regular Fit,,"17.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,0.637402757,1910,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-crimson-ruby-to121c0fz-g12.html,Tommy Hilfiger,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,90.99,bordeaux,,,Sweat,,"64% cotton, 36% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,Hoodie pocket,,,Plain,Embroidery,TO121C0FZ-G12,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,0.883055403,2215,https://www.zalando.co.uk/edc-by-esprit-dress-day-dress-light-grey-ed121c0xv-c11.html,edc by Esprit,DRESS , Day dress,summer-dresses,54.99,grey,,,Sweat,,"84% cotton, 12% polyester, 4% viscose",,"Do not tumble dry, machine wash at 30°C",Hood,,,,,Marl,,ED121C0XV-C11,Calf-length,"25.5 "" (Size S)","46.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,0.570037849,269,https://www.zalando.co.uk/vero-moda-short-dress-day-dress-black-ve121c37l-q12.html,Vero Moda,VMANNA SHORT DRESS , Day dress,summer-dresses,26.34,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Print,,VE121C37L-Q12,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,0.332547926,7248,https://www.zalando.co.uk/in-the-style-jac-jossa-asymmetric-cowl-neck-midi-dress-day-dress-black-i0421c00s-q11.html,IN THE STYLE,JAC JOSSA ASYMMETRIC COWL NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,42.99,black,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,Asymmetrical,,Zip,Cowl neck,Plain,"Belt included, bust darts, adjustable straps",I0421C00S-Q11,Calf-length,"Sleeveless, spaghetti straps","43.0 "" (Size 8)",Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,0.203370907,540,https://www.zalando.co.uk/superdry-day-dress-white-su221c0nh-a11.html,Superdry,Day dress,,summer-dresses,39.99,white,,,,,100% viscose,,,,,,,,,,SU221C0NH-A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,0.054911312,640,https://www.zalando.co.uk/anna-field-petite-day-dress-dark-green-ani21c03l-m11.html,Anna Field Petite,Day dress,,summer-dresses,30.99,dark green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,,Plain,Bust darts,ANI21C03L-M11,Short,"17.5 "" (Size S)","35.5 "" (Size S)",Loose Fit,,"15.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.155928906,1016,https://www.zalando.co.uk/kaffe-oline-dress-shirt-dress-grape-leaf-ka321c0ct-n11.html,Kaffe,OLINE DRESS , Day dress,summer-dresses,69.99,army green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Turn-down collar,,,Button,,Polka dot,"Belt included, bust darts",KA321C0CT-N11,Calf-length,"24.0 "" (Size 8)","51.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,0.829747405,2918,https://www.zalando.co.uk/moves-dazinna-day-dress-carbon-mod21c087-q11.html,Moves,DAZINNA , Day dress,summer-dresses,69.99,grey,,,,,"63% polyester, 33% viscose, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Pinstriped,,MOD21C087-Q11,Extra short,Sleeveless,"30.5 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","17.0 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
