,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
141,0.677240744,2348,https://www.zalando.co.uk/esprit-dress-day-dress-black-es121c21z-q11.html,Esprit,DRESS , Day dress,summer-dresses,54.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,ES121C21Z-Q11,Knee-length,"25.0 "" (Size 10)","37.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","16.0 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,0.568538504,2211,https://www.zalando.co.uk/vila-vilana-ballon-sleeve-dress-day-dress-black-v1021c2su-q11.html,Vila,VILANA BALLON SLEEVE DRESS , Day dress,summer-dresses,29.74,black multi-coloured,,,,,100% viscose,,"Machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,,V1021C2SU-Q11,Short,"27.5 "" (Size 8)","37.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,0.670526987,5419,https://www.zalando.co.uk/lacoste-day-dress-pinot-la221c063-g11.html,Lacoste,Day dress,,summer-dresses,134.99,bordeaux,,,PiquÃ©,,"67% lyocell, 33% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,Low-cut v-neck,Plain,"Belt included, inseam pockets",LA221C063-G11,Calf-length,Short,"43.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,0.023225894,4392,https://www.zalando.co.uk/roksanda-emina-dress-day-dress-blackoatmealcoral-r9821c01u-b11.html,Roksanda,EMINA DRESS , Day dress,summer-dresses,,black multi-coloured,,,,,100% wool,,Dry clean only,,,,Zip,V-neck,,"Inseam pockets, bust darts",R9821C01U-B11,Calf-length,Sleeveless,,Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",,,,,"87% polyester, 9% viscose, 4% elastane",,,,,,,,,,,,,,,,,,,,,,,,,
441,0.864752455,3883,https://www.zalando.co.uk/esprit-maternity-day-dress-blue-grey-es929f0b7-k11.html,Esprit Maternity,Day dress,,summer-dresses,96.99,blue,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,Zip,Crew neck,Plain,Nursing-friendly,ES929F0B7-K11,Calf-length,Short,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,0.332547926,7248,https://www.zalando.co.uk/in-the-style-jac-jossa-asymmetric-cowl-neck-midi-dress-day-dress-black-i0421c00s-q11.html,IN THE STYLE,JAC JOSSA ASYMMETRIC COWL NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,42.99,black,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,Asymmetrical,,Zip,Cowl neck,Plain,"Belt included, bust darts, adjustable straps",I0421C00S-Q11,Calf-length,"Sleeveless, spaghetti straps","43.0 "" (Size 8)",Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,0.203370907,540,https://www.zalando.co.uk/superdry-day-dress-white-su221c0nh-a11.html,Superdry,Day dress,,summer-dresses,39.99,white,,,,,100% viscose,,,,,,,,,,SU221C0NH-A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.64789216,1064,https://www.zalando.co.uk/monki-day-dress-watery-dot-moq21c0bu-q11.html,Monki,Day dress,,summer-dresses,31.0,black/white,,,,,100% polyester,,Machine wash at 40°C,,,,Button,Crew neck,Polka dot,,MOQ21C0BU-Q11,Calf-length,"23.5 "" (Size S)","42.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,0.054911312,640,https://www.zalando.co.uk/anna-field-petite-day-dress-dark-green-ani21c03l-m11.html,Anna Field Petite,Day dress,,summer-dresses,30.99,dark green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,,Plain,Bust darts,ANI21C03L-M11,Short,"17.5 "" (Size S)","35.5 "" (Size S)",Loose Fit,,"15.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,0.58322859,4094,https://www.zalando.co.uk/bcbgmaxazria-short-evening-day-dress-yellow-mx121c082-e11.html,BCBGMAXAZRIA,SHORT EVENING , Day dress,summer-dresses,194.99,yellow,,,,,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Volant collar,,,Zip,,Plain,"Belt included, slip",MX121C082-E11,Short,Short,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
