,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1670,0.09602192,6207,https://www.zalando.co.uk/ivy-and-oak-bridal-malea-occasion-wear-snow-white-iv521c02o-a11.html,IVY & OAK BRIDAL,MALEA , Occasion wear,Occasion dresses,654.99,white,,,,,100% viscose,100% polyester,"Do not tumble dry, Do not wash",Standing collar,,,Zip,Backless,Plain,Crochet Detailing,IV521C02O-A11,Long,Short,"71.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0.17012658,2458,https://www.zalando.co.uk/only-carmakoma-carlollimegan-34-knee-belt-dress-day-dress-marine-green-ona21c0in-m11.html,ONLY Carmakoma,CARLOLLIMEGAN 3/4 KNEE BELT DRESS , Day dress,summer-dresses,34.99,green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,Low-cut v-neck,Floral,"Belt included, bust darts",ONA21C0IN-M11,Knee-length,"21.5 "" (Size 14)","45.5 "" (Size 14)",Loose Fit,,"17.5 "" (Size 14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.014613993999999996,6709,https://www.zalando.co.uk/wal-g-anya-ruched-midi-dress-cocktail-dress-party-dress-wine-wg021c0re-g11.html,WAL G.,ANYA RUCHED MIDI DRESS , Shift dress,Cocktail Dresses,35.99,bordeaux,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,WG021C0RE-G11,Knee-length,Sleeveless,"43.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0.909822453,657,https://www.zalando.co.uk/yas-yasbalara-midi-dress-day-dress-blackbalara-y0121c1t2-t11.html,YAS,YASBALARA MIDI DRESS , Day dress,summer-dresses,55.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Floral,Bust darts,Y0121C1T2-T11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,0.49037955,351,https://www.zalando.co.uk/ichi-ihcunilla-day-dress-creme-brulee-ic221c0j3-a11.html,ICHI,IHCUNILLA , Day dress,summer-dresses,74.99,white multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Button,Low-cut v-neck,Floral,Belt included,IC221C0J3-A11,Knee-length,"15.5 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,,"15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.7444701840000001,2606,https://www.zalando.co.uk/tom-tailor-denim-dress-maxi-dress-blue-to721c0cw-t11.html,TOM TAILOR DENIM,PRINTED  , Day dress,summer-dresses,54.99,navy,,,Tulle,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",Mandarin collar,,,,,Floral,Slip,TO721C0CW-T11,Calf-length,Long,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,0.23396007,6078,https://www.zalando.co.uk/wal-g-darling-maxi-dress-occasion-wear-dark-grey-wg021c0r9-c11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,79.99,silver,,,Tulle,,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-C11,Knee-length,"23.5 "" (Size 10)","59.0 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,0.133815383,2202,https://www.zalando.co.uk/tommy-hilfiger-short-dress-day-dress-desert-skyecru-to121c0k3-q11.html,Tommy Hilfiger,F&F SHORT LS , Day dress,summer-dresses,139.99,black/white,,,,,100% viscose,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Print,,TO121C0K3-Q11,Short,"25.0 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,0.12629785300000002,7382,https://www.zalando.co.uk/wal-g-limmy-skater-dress-cocktail-dress-party-dress-navy-blue-wg021c0oy-k11.html,WAL G.,LIMMY SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,36.99,navy,,,Lace,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,,Backless,Plain,"Belt included, slip",WG021C0OY-K11,Short,Sleeveless,"35.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,0.712780097,481,https://www.zalando.co.uk/mavi-button-dress-day-dress-light-yellow-ma621c023-t12.html,Mavi,BUTTON DRESS , Day dress,summer-dresses,49.99,white multi-coloured,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Floral,Adjustable straps,MA621C023-T12,Calf-length,Spaghetti straps,"47.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
