,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
318,0.332547926,7248,https://www.zalando.co.uk/in-the-style-jac-jossa-asymmetric-cowl-neck-midi-dress-day-dress-black-i0421c00s-q11.html,IN THE STYLE,JAC JOSSA ASYMMETRIC COWL NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,42.99,black,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,Asymmetrical,,Zip,Cowl neck,Plain,"Belt included, bust darts, adjustable straps",I0421C00S-Q11,Calf-length,"Sleeveless, spaghetti straps","43.0 "" (Size 8)",Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,0.203370907,540,https://www.zalando.co.uk/superdry-day-dress-white-su221c0nh-a11.html,Superdry,Day dress,,summer-dresses,39.99,white,,,,,100% viscose,,,,,,,,,,SU221C0NH-A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.64789216,1064,https://www.zalando.co.uk/monki-day-dress-watery-dot-moq21c0bu-q11.html,Monki,Day dress,,summer-dresses,31.0,black/white,,,,,100% polyester,,Machine wash at 40°C,,,,Button,Crew neck,Polka dot,,MOQ21C0BU-Q11,Calf-length,"23.5 "" (Size S)","42.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,0.054911312,640,https://www.zalando.co.uk/anna-field-petite-day-dress-dark-green-ani21c03l-m11.html,Anna Field Petite,Day dress,,summer-dresses,30.99,dark green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,,Plain,Bust darts,ANI21C03L-M11,Short,"17.5 "" (Size S)","35.5 "" (Size S)",Loose Fit,,"15.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,0.58322859,4094,https://www.zalando.co.uk/bcbgmaxazria-short-evening-day-dress-yellow-mx121c082-e11.html,BCBGMAXAZRIA,SHORT EVENING , Day dress,summer-dresses,194.99,yellow,,,,,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Volant collar,,,Zip,,Plain,"Belt included, slip",MX121C082-E11,Short,Short,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,0.61232422,6489,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dressparty-dress-na521c0mb-q11.html,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee-length,Elbow length,"39.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,0.811783006,2062,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,Kaffe,ELOISE DRESS , Day dress,summer-dresses,79.99,brown,,,Chiffon,,"95% polyester, 5% metal",100% polyester,,Standing collar,,,,Low-cut v-neck,Print,"Inseam pockets, bust darts, slip",KA321C0SD-T11,Knee-length,"26.5 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,,"15.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,0.614868977,2436,https://www.zalando.co.uk/superdry-day-dress-eclipse-navy-su221c0pi-k11.html,Superdry,Day dress,,summer-dresses,30.0,navy,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Cache-coeur,Print,,SU221C0PI-K11,Short,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,0.784536725,6769,https://www.zalando.co.uk/minimum-meshi-cocktail-dress-party-dress-black-mi421c0c0-q11.html,Minimum,MESHI  , Cocktail dress / Party dress,Cocktail Dresses,69.99,black,,,Mesh,,"90% polyester, 10% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,V-neck,Floral,Slip,MI421C0C0-Q11,Knee-length,"25.5 "" (Size S)","44.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,0.237421548,5898,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,DRYKORN,TAMASHA , Day dress,summer-dresses,129.99,brown,,,,,"70% cupro, 30% cotton",,Hand wash only,,,,,Crew neck,Animal print,Inseam pockets,DR221C03K-O11,Calf-length,Elbow length,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
