,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1121,0.499456522,793,https://www.zalando.co.uk/esprit-collection-day-dress-brown-es421c1k9-o11.html,Esprit Collection,MIT SCHLUPPE , Day dress,summer-dresses,49.99,black/white,,,Chiffon,,100% polyester,100% polyester,,,,,,V-neck,Print,,ES421C1K9-O11,Knee-length,"25.0 "" (Size 8)","39.5 "" (Size 8)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,0.5669928639999999,3892,https://www.zalando.co.uk/sand-copenhagen-linosa-day-dress-dark-bluenavy-saa21c02i-k11.html,Sand Copenhagen,LINOSA , Day dress,summer-dresses,279.99,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,Low-cut v-neck,Floral,Inseam pockets,SAA21C02I-K11,Calf-length,"19.5 "" (Size 8)","43.0 "" (Size 8)",Regular Fit,,"17.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,0.637402757,1910,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-crimson-ruby-to121c0fz-g12.html,Tommy Hilfiger,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,90.99,bordeaux,,,Sweat,,"64% cotton, 36% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,Hoodie pocket,,,Plain,Embroidery,TO121C0FZ-G12,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,0.883055403,2215,https://www.zalando.co.uk/edc-by-esprit-dress-day-dress-light-grey-ed121c0xv-c11.html,edc by Esprit,DRESS , Day dress,summer-dresses,54.99,grey,,,Sweat,,"84% cotton, 12% polyester, 4% viscose",,"Do not tumble dry, machine wash at 30°C",Hood,,,,,Marl,,ED121C0XV-C11,Calf-length,"25.5 "" (Size S)","46.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,0.570037849,269,https://www.zalando.co.uk/vero-moda-short-dress-day-dress-black-ve121c37l-q12.html,Vero Moda,VMANNA SHORT DRESS , Day dress,summer-dresses,26.34,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Print,,VE121C37L-Q12,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,0.237421548,5898,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,DRYKORN,TAMASHA , Day dress,summer-dresses,129.99,brown,,,,,"70% cupro, 30% cotton",,Hand wash only,,,,,Crew neck,Animal print,Inseam pockets,DR221C03K-O11,Calf-length,Elbow length,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0.531388578,2760,https://www.zalando.co.uk/esprit-light-day-dress-black-es121c235-q12.html,Esprit,LIGHT  , Day dress,summer-dresses,29.99,black,,,,,100% viscose,,"Do not bleach, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,ES121C235-Q12,Normal,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.989102906,649,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,ONLY,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,29.74,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,,"14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.337581991,22,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,23.99,green,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Boat neck,Floral,,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,0.600859327,4486,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-eban-brown-p1421c0j5-o11.html,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,329.99,brown,,,,,100% viscose,,Hand wash only,,,,,Backless,Plain,"Belt included, adjustable straps",P1421C0J5-O11,Extra short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
