,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1562,0.61232422,6489,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dressparty-dress-na521c0mb-q11.html,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee-length,Elbow length,"39.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,0.811783006,2062,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,Kaffe,ELOISE DRESS , Day dress,summer-dresses,79.99,brown,,,Chiffon,,"95% polyester, 5% metal",100% polyester,,Standing collar,,,,Low-cut v-neck,Print,"Inseam pockets, bust darts, slip",KA321C0SD-T11,Knee-length,"26.5 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,,"15.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,0.614868977,2436,https://www.zalando.co.uk/superdry-day-dress-eclipse-navy-su221c0pi-k11.html,Superdry,Day dress,,summer-dresses,30.0,navy,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Cache-coeur,Print,,SU221C0PI-K11,Short,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,0.784536725,6769,https://www.zalando.co.uk/minimum-meshi-cocktail-dress-party-dress-black-mi421c0c0-q11.html,Minimum,MESHI  , Cocktail dress / Party dress,Cocktail Dresses,69.99,black,,,Mesh,,"90% polyester, 10% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,V-neck,Floral,Slip,MI421C0C0-Q11,Knee-length,"25.5 "" (Size S)","44.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,0.237421548,5898,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,DRYKORN,TAMASHA , Day dress,summer-dresses,129.99,brown,,,,,"70% cupro, 30% cotton",,Hand wash only,,,,,Crew neck,Animal print,Inseam pockets,DR221C03K-O11,Calf-length,Elbow length,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,0.570037849,269,https://www.zalando.co.uk/vero-moda-short-dress-day-dress-black-ve121c37l-q12.html,Vero Moda,VMANNA SHORT DRESS , Day dress,summer-dresses,26.34,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Print,,VE121C37L-Q12,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,0.637402757,1910,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-crimson-ruby-to121c0fz-g12.html,Tommy Hilfiger,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,90.99,bordeaux,,,Sweat,,"64% cotton, 36% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,Hoodie pocket,,,Plain,Embroidery,TO121C0FZ-G12,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,0.883055403,2215,https://www.zalando.co.uk/edc-by-esprit-dress-day-dress-light-grey-ed121c0xv-c11.html,edc by Esprit,DRESS , Day dress,summer-dresses,54.99,grey,,,Sweat,,"84% cotton, 12% polyester, 4% viscose",,"Do not tumble dry, machine wash at 30°C",Hood,,,,,Marl,,ED121C0XV-C11,Calf-length,"25.5 "" (Size S)","46.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,0.223399518,1157,https://www.zalando.co.uk/jdy-jdydodo-beltdress-day-dress-sky-captain-jy121c0qn-k12.html,JDY,JDYDODO BELTDRESS , Day dress,summer-dresses,18.99,navy,,,Jersey,,"96% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Scoop neck,,"Belt included, border",JY121C0QN-K12,Short,Short,"36.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,0.499456522,793,https://www.zalando.co.uk/esprit-collection-day-dress-brown-es421c1k9-o11.html,Esprit Collection,MIT SCHLUPPE , Day dress,summer-dresses,49.99,black/white,,,Chiffon,,100% polyester,100% polyester,,,,,,V-neck,Print,,ES421C1K9-O11,Knee-length,"25.0 "" (Size 8)","39.5 "" (Size 8)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
