,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42,User
559,0.213748605,5904,https://www.zalando.co.uk/true-religion-hooded-day-dress-black-tr121c017-q11.html,True Religion,HOODED , Day dress,summer-dresses,174.99,black,,,Sweat,,"84% cotton, 16% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Print,"Inseam pockets, elasticated waist",TR121C017-Q11,Short,"25.0 "" (Size S)","34.0 "" (Size S)",Oversized,"Our model is 5' 11""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
795,0.8884235840000001,3943,https://www.zalando.co.uk/ragwear-marselinna-day-dress-white-r5921c0b9-a11.html,Ragwear,MARSELINNA , Day dress,summer-dresses,59.99,white,,,Sweat,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",High collar,,,,,Marl,Inseam pockets,R5921C0B9-A11,Knee-length,"23.5 "" (Size S)","35.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
173,0.480399229,145,https://www.zalando.co.uk/superdry-studios-jumper-dress-black-su221d265-q12.html,Superdry,STUDIOS  , Day dress,summer-dresses,30.0,black,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Backless,Plain,,SU221D265-Q12,Knee-length,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
1927,0.8743615309999999,1643,https://www.zalando.co.uk/esprit-collection-dress-day-dress-off-white-es421c1jo-a11.html,Esprit Collection,DRESS , Day dress,summer-dresses,69.0,black,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Animal print,,ES421C1JO-A11,Calf-length,Elbow length,"45.5 "" (Size S)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
470,0.509304094,7099,https://www.zalando.co.uk/michael-michael-kors-cut-out-midi-dress-cocktail-dress-party-dress-black-mk121c0kh-q11.html,MICHAEL Michael Kors,CUT OUT MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,279.99,black,,,Satin,,100% viscose,100% polyester,Dry clean only,,,,Zip,Crew neck,Plain,"Bust darts, slip",MK121C0KH-Q11,Calf-length,Short,"48.5 "" (Size M)",Regular Fit,"Our model is 5' 9""  tall and is wearing size M","13.0 "" (Size M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
1399,0.607773711,651,https://www.zalando.co.uk/superdry-day-dress-black-su221c0nq-q11.html,Superdry,TEXTURED , Day dress,summer-dresses,34.99,black,,,,,"58% linen, 42% viscose",,"Do not bleach, do not tumble dry",,,,,,,,SU221C0NQ-Q11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
709,0.38093322,1722,https://www.zalando.co.uk/only-onlmarcela-dress-day-dress-night-skysilver-on321c2o1-k11.html,ONLY,ONLMARCELA WRAP DRESS , Day dress,summer-dresses,29.74,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Pinstriped,Slip,ON321C2O1-K11,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
713,0.50781408,1644,https://www.zalando.co.uk/desigual-vest-charlotte-designed-by-m-christian-lacroix-day-dress-marine-de121c0z5-t11.html,Desigual,VEST CHARLOTTE DESIGNED BY M. CHRISTIAN LACROIX , Jersey dress,summer-dresses,119.99,electric blue,,,Jersey,,"47% polyester, 45% viscose, 5% elastane, 3% cotton",,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,,,DE121C0Z5-T11,Calf-length,Sleeveless,"51.5 "" (Size M)",Slim Fit,"Our model is 5' 10""  tall and is wearing size M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
148,0.259607635,2340,https://www.zalando.co.uk/someday-quody-day-dress-chestnut-y0321c043-o11.html,someday.,QUODY , Day dress,summer-dresses,89.99,sand,,,Jersey,,"52% modal, 42% polyester, 6% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Plain,Inseam pockets,Y0321C043-O11,Knee-length,"25.0 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
755,0.04172122,5840,https://www.zalando.co.uk/mamalicious-mlcorina-dress-day-dress-black-m6429f0xi-q11.html,MAMALICIOUS,MLCORINA DRESS , Day dress,summer-dresses,43.99,black,,,Satin,,100% polyester,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Floral,Bust darts,M6429F0XI-Q11,Knee-length,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
