,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
1670,0.09602192,6207,https://www.zalando.co.uk/ivy-and-oak-bridal-malea-occasion-wear-snow-white-iv521c02o-a11.html,IVY & OAK BRIDAL,MALEA , Occasion wear,Occasion dresses,654.99,white,,,,,100% viscose,100% polyester,"Do not tumble dry, Do not wash",Standing collar,,,Zip,Backless,Plain,Crochet Detailing,IV521C02O-A11,Long,Short,"71.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0.17012658,2458,https://www.zalando.co.uk/only-carmakoma-carlollimegan-34-knee-belt-dress-day-dress-marine-green-ona21c0in-m11.html,ONLY Carmakoma,CARLOLLIMEGAN 3/4 KNEE BELT DRESS , Day dress,summer-dresses,34.99,green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,Low-cut v-neck,Floral,"Belt included, bust darts",ONA21C0IN-M11,Knee-length,"21.5 "" (Size 14)","45.5 "" (Size 14)",Loose Fit,,"17.5 "" (Size 14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0.014613993999999996,6709,https://www.zalando.co.uk/wal-g-anya-ruched-midi-dress-cocktail-dress-party-dress-wine-wg021c0re-g11.html,WAL G.,ANYA RUCHED MIDI DRESS , Shift dress,Cocktail Dresses,35.99,bordeaux,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,,WG021C0RE-G11,Knee-length,Sleeveless,"43.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0.909822453,657,https://www.zalando.co.uk/yas-yasbalara-midi-dress-day-dress-blackbalara-y0121c1t2-t11.html,YAS,YASBALARA MIDI DRESS , Day dress,summer-dresses,55.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Floral,Bust darts,Y0121C1T2-T11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,0.49037955,351,https://www.zalando.co.uk/ichi-ihcunilla-day-dress-creme-brulee-ic221c0j3-a11.html,ICHI,IHCUNILLA , Day dress,summer-dresses,74.99,white multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Button,Low-cut v-neck,Floral,Belt included,IC221C0J3-A11,Knee-length,"15.5 "" (Size 8)","37.0 "" (Size 8)",Loose Fit,,"15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,0.61232422,6489,https://www.zalando.co.uk/naf-naf-lazale-cocktail-dressparty-dress-na521c0mb-q11.html,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Plain,"Elasticated waist, slip",NA521C0MB-Q11,Knee-length,Elbow length,"39.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,0.811783006,2062,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,Kaffe,ELOISE DRESS , Day dress,summer-dresses,79.99,brown,,,Chiffon,,"95% polyester, 5% metal",100% polyester,,Standing collar,,,,Low-cut v-neck,Print,"Inseam pockets, bust darts, slip",KA321C0SD-T11,Knee-length,"26.5 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,,"15.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,0.614868977,2436,https://www.zalando.co.uk/superdry-day-dress-eclipse-navy-su221c0pi-k11.html,Superdry,Day dress,,summer-dresses,30.0,navy,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Cache-coeur,Print,,SU221C0PI-K11,Short,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,0.784536725,6769,https://www.zalando.co.uk/minimum-meshi-cocktail-dress-party-dress-black-mi421c0c0-q11.html,Minimum,MESHI  , Cocktail dress / Party dress,Cocktail Dresses,69.99,black,,,Mesh,,"90% polyester, 10% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,V-neck,Floral,Slip,MI421C0C0-Q11,Knee-length,"25.5 "" (Size S)","44.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,0.237421548,5898,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,DRYKORN,TAMASHA , Day dress,summer-dresses,129.99,brown,,,,,"70% cupro, 30% cotton",,Hand wash only,,,,,Crew neck,Animal print,Inseam pockets,DR221C03K-O11,Calf-length,Elbow length,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
