,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
743,0.670526987,5419,https://www.zalando.co.uk/lacoste-day-dress-pinot-la221c063-g11.html,Lacoste,Day dress,,summer-dresses,134.99,bordeaux,,,PiquÃ©,,"67% lyocell, 33% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,Low-cut v-neck,Plain,"Belt included, inseam pockets",LA221C063-G11,Calf-length,Short,"43.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,0.023225894,4392,https://www.zalando.co.uk/roksanda-emina-dress-day-dress-blackoatmealcoral-r9821c01u-b11.html,Roksanda,EMINA DRESS , Day dress,summer-dresses,,black multi-coloured,,,,,100% wool,,Dry clean only,,,,Zip,V-neck,,"Inseam pockets, bust darts",R9821C01U-B11,Calf-length,Sleeveless,,Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",,,,,"87% polyester, 9% viscose, 4% elastane",,,,,,,,,,,,,,,,,,,,,,,,,
441,0.864752455,3883,https://www.zalando.co.uk/esprit-maternity-day-dress-blue-grey-es929f0b7-k11.html,Esprit Maternity,Day dress,,summer-dresses,96.99,blue,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,Zip,Crew neck,Plain,Nursing-friendly,ES929F0B7-K11,Calf-length,Short,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,0.094095373,7071,https://www.zalando.co.uk/bytimo-gathers-dress-cocktail-dress-party-dress-pink-byh21c02h-j11.html,byTiMo,GATHERS DRESS , Cocktail dress / Party dress,Cocktail Dresses,279.99,pink,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Floral,,BYH21C02H-J11,Knee-length,"20.0 "" (Size S)","38.5 "" (Size S)",Regular Fit,,"15.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.677240744,2348,https://www.zalando.co.uk/esprit-dress-day-dress-black-es121c21z-q11.html,Esprit,DRESS , Day dress,summer-dresses,54.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,ES121C21Z-Q11,Knee-length,"25.0 "" (Size 10)","37.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","16.0 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.989102906,649,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,ONLY,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,29.74,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,,"14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.337581991,22,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,23.99,green,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Boat neck,Floral,,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,0.600859327,4486,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-eban-brown-p1421c0j5-o11.html,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,329.99,brown,,,,,100% viscose,,Hand wash only,,,,,Backless,Plain,"Belt included, adjustable straps",P1421C0J5-O11,Extra short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,0.826792168,7,https://www.zalando.co.uk/anna-field-dress-day-dress-dark-green-an621c1p1-m11.html,Anna Field,DRESS , Day dress,summer-dresses,31.49,dark green,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,"Belt included, underskirt",AN621C1P1-M11,Short,"24.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,0.212738698,5815,https://www.zalando.co.uk/billabong-dream-big-day-dress-black-bi721c031-q11.html,Billabong,DREAM BIG , Day dress,summer-dresses,64.99,black multi-coloured,,,,,100% viscose,100% viscose,Hand wash only,,,,Button,Low-cut v-neck,Floral,Slip,BI721C031-Q11,Knee-length,"17.5 "" (Size S)","43.5 "" (Size S)",Regular Fit,,"17.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
