,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
11,0.789473975,2174,https://www.zalando.co.uk/esprit-collection-day-dress-navy-es421c1lm-k12.html,Esprit Collection,Day dress,,summer-dresses,75.0,navy,100% polyester,,,,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30°C",,,,,Crew neck,Striped,Slip,ES421C1LM-K12,Calf-length,Elbow length,,Regular Fit,,,,,"86% cotton, 13% polyamide, 1% elastane",,,,,,,,,,,,,,,,,,,,,,,,,,,
711,0.108526774,2317,https://www.zalando.co.uk/only-carmakoma-carlollilise-calf-dress-day-dress-sky-captain-ona21c0ga-k11.html,ONLY Carmakoma,CARLOLLILISE CALF DRESS  , Day dress,summer-dresses,47.99,navy,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Floral,Button row,ONA21C0GA-K11,Calf-length,"28.0 "" (Size 16)","51.5 "" (Size 16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 16","18.5 "" (Size 16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,0.992717204,3820,https://www.zalando.co.uk/my-true-me-tom-tailor-dress-blouse-style-day-dress-deep-black-tol21c01t-q11.html,MY TRUE ME TOM TAILOR,DRESS BLOUSE STYLE , Day dress,summer-dresses,59.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle, Do not bleach",,,,Button,Crew neck,Plain,,TOL21C01T-Q11,Knee-length,"24.0 "" (Size 18)","38.5 "" (Size 18)",Loose Fit,,"17.5 "" (Size 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,0.989467759,718,https://www.zalando.co.uk/gap-cap-sleeve-button-front-day-dress-dark-bluewhite-gp021c0kw-k11.html,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,54.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Floral,Button row,GP021C0KW-K11,Short,Short,"33.0 "" (Size 10)",Regular Fit,,"14.0 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,0.7181838559999999,3426,https://www.zalando.co.uk/pepe-jeans-paola-day-dress-midnight-pe121c0mp-k11.html,Pepe Jeans,PAOLA , Day dress,summer-dresses,84.99,navy,,,Rib,,"72% viscose, 28% nylon",,"Do not tumble dry, Hand wash only",,,,,Crew neck,Striped,,PE121C0MP-K11,Calf-length,"25.5 "" (Size S)","48.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.7444701840000001,2606,https://www.zalando.co.uk/tom-tailor-denim-dress-maxi-dress-blue-to721c0cw-t11.html,TOM TAILOR DENIM,PRINTED  , Day dress,summer-dresses,54.99,navy,,,Tulle,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",Mandarin collar,,,,,Floral,Slip,TO721C0CW-T11,Calf-length,Long,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,0.23396007,6078,https://www.zalando.co.uk/wal-g-darling-maxi-dress-occasion-wear-dark-grey-wg021c0r9-c11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,79.99,silver,,,Tulle,,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-C11,Knee-length,"23.5 "" (Size 10)","59.0 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,0.133815383,2202,https://www.zalando.co.uk/tommy-hilfiger-short-dress-day-dress-desert-skyecru-to121c0k3-q11.html,Tommy Hilfiger,F&F SHORT LS , Day dress,summer-dresses,139.99,black/white,,,,,100% viscose,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Print,,TO121C0K3-Q11,Short,"25.0 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,0.12629785300000002,7382,https://www.zalando.co.uk/wal-g-limmy-skater-dress-cocktail-dress-party-dress-navy-blue-wg021c0oy-k11.html,WAL G.,LIMMY SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,36.99,navy,,,Lace,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,,Backless,Plain,"Belt included, slip",WG021C0OY-K11,Short,Sleeveless,"35.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,0.712780097,481,https://www.zalando.co.uk/mavi-button-dress-day-dress-light-yellow-ma621c023-t12.html,Mavi,BUTTON DRESS , Day dress,summer-dresses,49.99,white multi-coloured,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Floral,Adjustable straps,MA621C023-T12,Calf-length,Spaghetti straps,"47.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
