,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
20,0.989102906,649,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,ONLY,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,29.74,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,,"14.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.337581991,22,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,23.99,green,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Boat neck,Floral,,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,0.600859327,4486,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-eban-brown-p1421c0j5-o11.html,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,329.99,brown,,,,,100% viscose,,Hand wash only,,,,,Backless,Plain,"Belt included, adjustable straps",P1421C0J5-O11,Extra short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,0.826792168,7,https://www.zalando.co.uk/anna-field-dress-day-dress-dark-green-an621c1p1-m11.html,Anna Field,DRESS , Day dress,summer-dresses,31.49,dark green,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,"Belt included, underskirt",AN621C1P1-M11,Short,"24.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,0.212738698,5815,https://www.zalando.co.uk/billabong-dream-big-day-dress-black-bi721c031-q11.html,Billabong,DREAM BIG , Day dress,summer-dresses,64.99,black multi-coloured,,,,,100% viscose,100% viscose,Hand wash only,,,,Button,Low-cut v-neck,Floral,Slip,BI721C031-Q11,Knee-length,"17.5 "" (Size S)","43.5 "" (Size S)",Regular Fit,,"17.5 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,0.6829460759999999,7056,https://www.zalando.co.uk/farm-rio-mini-dress-cocktail-dress-party-dress-crazy-mix-f0i21c036-t11.html,Farm Rio,MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,234.99,multi-coloured,,,Velvet/velour,,"80% viscose, 20% nylon",100% viscose,Dry clean only,,,,Zip,Low-cut v-neck,Print,Slip,F0I21C036-T11,Extra short,"24.5 "" (Size 8-10)","33.0 "" (Size 8-10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8-10","15.0 "" (Size 8-10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,0.90391718,4091,https://www.zalando.co.uk/rifo-suzanne-day-dress-blue-mare-rip21c000-k11.html,RifÃ²,SUZANNE , Day dress,summer-dresses,59.99,blue,,,PiquÃ©,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,Low-cut v-neck,Plain,,RIP21C000-K11,Knee-length,Short,"36.5 "" (Size S)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,0.8598518159999999,3716,https://www.zalando.co.uk/marimekko-ilolle-jokeri-dress-day-dress-dark-bluesand-m4k21c04s-k11.html,Marimekko,ILOLLE JOKERI DRESS , Day dress,summer-dresses,259.99,navy,,,,,100% cotton,,"Machine wash at 40°C, do not tumble dry",Kent collar,,,Button,,,,M4K21C04S-K11,Calf-length,"21.5 "" (Size 10)","44.5 "" (Size 10)",Regular Fit,,"20.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,0.247506532,6835,https://www.zalando.co.uk/ted-baker-kenedi-cocktail-dress-party-dress-dusky-pink-te421c0lk-j11.html,Ted Baker,KENEDI , Cocktail dress / Party dress,Cocktail Dresses,259.99,pastel pink,,,Chiffon,,100% polyester,100% polyester,"Hand wash only, Dry cleanable",,,,Laces,Crew neck,Print,"Bust darts, adjustable straps, slip",TE421C0LK-J11,Short,Sleeveless,"35.0 "" (Size 10)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 10","12.5 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,0.505788995,2873,https://www.zalando.co.uk/esprit-day-dress-navy-es121c24h-k11.html,Esprit,Day dress,,summer-dresses,55.0,navy,,,,,"60% viscose, 40% polyamide",,"Do not bleach, machine wash at 30°C",,,,,Low-cut v-neck,Marl,Belt included,ES121C24H-K11,Short,3/4 length,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
