"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","brand","description","day dress","category","price","color","Bottom part material","Contains non-textile parts of animal origin","Fabric","Sheer","Outer fabric material","Lining","Care instructions","Collar","Cut","Pockets","Fastening","Neckline","Pattern","Details","Article number","Length","Sleeve length","Total length","Fit","Our model's height","Back width"
"alternative",0.9996144013722549,2.60952879366828E-4,9.682376020616482E-6,1.1379362562838829E-4,4.403680355175734E-8,1.5417049957991662E-11,1.1256945086019286E-6,0,"Desigual","WOMAN TOPS TEMPLATE  ","Day dress","summer-dresses",109.99,"multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Turn-down collar",,,"Button",,"Print",,"DE121C0ZG-T11","Short","25.0 "" (Size M)","34.5 "" (Size M)","Loose Fit","Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)"
"sporty",3.0693112158181145E-5,3.820183344145505E-6,3.48178637125996E-8,2.5264145959694103E-7,1.4229964350779418E-10,0.9999651676254915,3.1477383050746536E-8,1,"Superdry","Day dress",,"summer-dresses",54.99,"grey",,,,,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry",,,,,,,,"SU221C0OO-C12",,,,,,
"classic",0.0010092808602620944,0.013902768777279613,0.9610658783099237,0.013425851006560326,0.006080532808100328,5.841681782928319E-5,0.004457271420044561,2,"Glamorous Bloom","BOW MIDI DRESS ","Day dress","summer-dresses",34.99,"navy",,,,,"55% polyester, 45% cotton",,"Hand wash only, Dry cleanable","Standing collar",,,,"Low-cut v-neck","Plain","Belt included","GLI29F001-K11","Calf-length","Elbow length","42.0 "" (Size 8)","Regular Fit",,"17.0 "" (Size 8)"
"classic",4.683345435775751E-4,2.0085388590597244E-4,0.8000276986818425,0.004367405829087468,0.06748268265437178,1.0508761204466379E-10,0.12745302430012712,3,"NA-KD","SMOCKED WAIST MINI DRESS ","Day dress","summer-dresses",49.99,"orange",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Cache-coeur","Floral",,"NAA21C0OM-H11","Short","27.0 "" (Size 8)","36.5 "" (Size 8)","Regular Fit",,"17.0 "" (Size 8)"
"classic",9.436477950530803E-5,0.0047358165357414194,0.9923053696231856,8.505909880053317E-4,0.0013137586511084076,5.488181516310881E-4,1.512812708230042E-4,4,"Moss Copenhagen","WAGNA DRESS ","Day dress","summer-dresses",79.99,"black/white",,,"Knit",,"48% viscose, 35% nylon, 12% wool, 5% alpaca",,"Hand wash only, do not tumble dry",,,,,"Crew neck","Striped",,"M0Y21C08P-K11","Knee-length","17.0 "" (Size S/M)","44.5 "" (Size S/M)","Regular Fit",,
"girly",3.014328239912138E-6,0.013567777719587086,0.00308022613330785,0.04822837284569115,0.9340811785962513,4.869308725481921E-11,0.0010394303282296887,5,"Patrizia Pepe","ABITO DRESS ","Day dress","summer-dresses",274.99,"white multi-coloured",,,,,"86% polyester, 14% elastane",,"Hand wash only",,,,"Zip","Crew neck","Floral",,"P1421C0J2-J11","Calf-length","29.0 "" (Size 10)","48.5 "" (Size 10)","Slim Fit",,"16.0 "" (Size 10)"
"casual chic",0.028565235939863213,0.8010919617588427,0.16871753918033414,7.595523551728993E-5,2.4439497568107304E-4,1.1235263094400123E-10,0.0013049127974089942,6,"Pieces","PCHILDA DRESS ","Day dress","summer-dresses",34.99,"black",,,,,"100% polyester",,,"Turn-down collar",,,"Button",,"Floral","Belt included, bust darts","PE321C184-Q11","Calf-length","24.5 "" (Size S)","45.0 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
"sporty",1.193184313930188E-12,6.5445088851677866E-12,3.603666682646929E-11,5.632577406197429E-13,7.351558304475026E-16,0.9999999999553635,2.982536744727447E-13,7,"HUGO","DASERENA LABEL ","Day dress","summer-dresses",149.99,"black",,,"Sweat",,"100% cotton",,"Do not tumble dry, machine wash at 30°C","Hood",,"Hoodie pocket",,,"Marl","Elasticated waist, embroidery","HU721C0HR-Q11","Knee-length","25.0 "" (Size S)","36.5 "" (Size S)","Loose Fit","Our model is 5' 9""  tall and is wearing size S",
"casual chic",0.02032834222724918,0.9730250120466065,0.0061809844250212105,3.241399255060423E-4,1.3585544731231001E-4,4.909949712541502E-8,5.616828807769112E-6,8,"Vero Moda Curve","VMAKELA ","Day dress","summer-dresses",34.99,"blue",,,,,"100% cotton",,"Do not tumble dry, machine wash at 30°C","Mandarin collar",,,,"Low-cut v-neck","Striped","Bust darts","VEE21C071-K11","Knee-length","17.0 "" (Size 16)","35.0 "" (Size 16)","Loose Fit",,"15.5 "" (Size 16)"
"edgy",4.9256755823620966E-23,1.1323583511710859E-17,0.00391107715077763,0.6507594616309432,0.006044724433345717,1.354606698796934E-49,0.3392847367849334,9,"Diane von Furstenberg","KENT DRESS ","Cocktail dress / Party dress","Cocktail Dresses",625.0,"blue",,,"Chiffon",,"100% viscose","100% polyester","Dry clean only","Standing collar",,,"Zip",,"Floral","Belt included, slip","DF221C0BT-K11","Calf-length","28.5 "" (Size 8)","48.0 "" (Size 8)","Regular Fit","Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
"classic",0.010697536249837181,0.003991611385004941,0.9358871700148482,0.007295049216172806,1.070175088616032E-4,0.041282834882796125,7.387807424791521E-4,10,"Cotton On Petite","PETITE DRESS ","Day dress","summer-dresses",28.99,"black",,,"Rib",,"72% viscose, 28% polyamide",,"Hand wash only","Turn-down collar",,,,"Low-cut v-neck","Plain",,"C6A21C008-Q11","Extra short","Short","33.5 "" (Size S)","Bodycon",,
"classic",0.002063077537989154,3.25128251856516E-4,0.9973429889683698,2.244915826139519E-4,1.1668285808348526E-5,2.418725847940469E-5,8.458114883004749E-6,11,"Esprit Collection","Day dress",,"summer-dresses",75.0,"navy","100% polyester",,,,"86% cotton, 13% polyamide, 1% elastane","100% polyester","Do not bleach, do not tumble dry, machine wash at 30°C",,,,,"Crew neck","Striped","Slip","ES421C1LM-K12","Calf-length","Elbow length",,"Regular Fit",,
