,cv_predicted,Style,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
0,edgy,edgy,2nd Day,"AMANDA FLUID  ",189.99,4,black,Satin,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Closing,Wrap dresses,Neckline,Plain,Slip,Short,Short,Long,"41.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
1,edgy,edgy,2nd Day,"SHERMAN DEMAND ",529.99,5,black,Leather,100% leather,100% cotton,Clean with leather care products,Hood,Asymmetrical,Button,Hooded dresses,Low v-neck,Plain,"Belt included, inseam pockets",Calf length,Extra short,Short,"44.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","20.5 "" (Size 10)",No,No,No,No,No
2,sporty,sporty,Ragwear,"MASCARPONE ",43.99,2,blue,Viscose,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Inseam pockets,Knee length,Extra short,Short,"37.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size S)",No,No,No,No,No
3,girly,girly,Vero Moda,"VMSMILLA ",30.99,1,brown,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Floral,Slip,Short,"24.5 "" (Size S)",Long,"36.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
4,trendy,girly,Vila,"VIMAGNOLIA BELT DRESS ",34.99,1,navy,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Accentuating the waist,V-neck,Floral,Belt included,Knee length,"25.0 "" (Size 10)",Long,"36.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 10)",No,No,No,No,No
5,trendy,trendy,Vila,"VISELENA V NECK DRESS ",34.99,1,black/green,Polyester,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Animal Prints in general,Slip,Short,"25.5 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
6,alternative,girly,Vila,"VIJOSE BLUME SHORT RUFFLE DRESS ",37.39,1,white,Polyester,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Slip,Short,"25.0 "" (Size 10)",Long,"32.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 10)",No,No,No,No,No
7,classic,classic,Hugo Boss,"C_DETELIZZA ",159.99,4,pink,Cotton,"96% cotton, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,Asymmetrical,Zip,Button down dresses,Low v-neck,Plain,"Belt included, inseam pockets",Knee length,"19.0 "" (Size 8)",Short,"40.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","20.5 "" (Size 8)",No,No,No,No,No
8,girly,girly,Bruuns Bazaar,"SEER ALLURE DRESS ",99.99,3,pastel blue,Polyester,"80% polyester, 20% cotton",100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Checked,Slip,Short,Elbow length,Elbow length,"33.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",Yes,No,No,No,No
9,sporty,sporty,JDY,"JDYMARY DRESS ",19.49,1,pink,Sweat,"65% polyester, 35% viscose",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Slip,Knee length,"25.0 "" (Size S)",Long,"40.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
