link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/wal-g-wendy-one-shoulder-maxi-dress-occasion-wear-black-wg021c0r3-q11.html,WAL G.,WENDY ONE SHOULDER MAXI DRESS , Occasion wear,Occasion dresses,Â£43.99,black,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,--,Plain,Border,WG021C0R3-Q11,Long,"Strapless, sleeveless","61.0 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-classic-long-gown-occasion-wear-lighthouse-navy-l4221c0wp-k11.html,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,Â£174.99,lighthouse navy,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,--,Asymmetrical,--,--,--,Plain,--,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-classic-long-gown-occasion-wear-lighthouse-navy-l4221c0wp-k11.html,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,Â£174.99,african flower,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,--,Asymmetrical,--,--,--,Plain,--,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-classic-long-gown-occasion-wear-lighthouse-navy-l4221c0wp-k11.html,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,Â£174.99,black,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,--,Asymmetrical,--,--,--,Plain,--,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-classic-long-gown-occasion-wear-lighthouse-navy-l4221c0wp-k11.html,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,Â£174.99,cream,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,--,Asymmetrical,--,--,--,Plain,--,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-classic-long-gown-occasion-wear-lighthouse-navy-l4221c0wp-k11.html,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,Â£174.99,hyannis port orange,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,--,Asymmetrical,--,--,--,Plain,--,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/tfnc-blakely-maxi-occasion-wear-dark-green-tf121c0og-m11.html,TFNC,BLAKELY MAXI , Occasion wear,Occasion dresses,Â£54.99,dark green,--,--,Chiffon,--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Backless,Plain,"Slip, wired bustier, bow",TF121C0OG-M11,Long,Sleeveless,"60.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-sleeveless-maxi-occasion-wear-black-wg021c06s-q11.html,WAL G.,SLEEVLESS MAXI , Occasion wear,Occasion dresses,Â£48.99,black,--,--,Lace,--,"95% polyester, 5% elastane","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,Padded bust,WG021C06S-Q11,Long,Sleeveless,"60.0 "" (Size 10)",Small,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-darling-dress-occasion-wear-emerald-green-wg021c0r9-m11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,Â£84.99,emerald green,--,--,Tulle,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-M11,Long,"24.5 "" (Size 10)","54.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-darling-dress-occasion-wear-emerald-green-wg021c0r9-m11.html,WAL G.,DARLING MAXI DRESS , Occasion wear,Occasion dresses,Â£84.99,dark grey,--,--,Tulle,--,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Plain,"Padded bust, slip, sequins",WG021C0R9-M11,Long,"24.5 "" (Size 10)","54.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
