Style options,Styles,Random order,Original order,,link,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
classic,edgy,0.923274439,7607,,https://www.zalando.co.uk/superdry-day-dress-black-ditsy-su221c0os-q11.html,Day dress,,Cocktail Dresses,Â£54.99,black multi-coloured,--,--,--,--,100% viscose,--,"Do not bleach, do not tumble dry",Standing collar,--,--,Button,--,Floral,--,SU221C0OS-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.615998776,5733,,https://www.zalando.co.uk/ragwear-day-dress-black-r5921c08p-q11.html,MASCARPONE , Day dress,summer-dresses,Â£43.99,blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Inseam pockets,R5921C08P-Q11,Knee-length,Extra short,"37.5 "" (Size S)",Regular Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.145288875,5521,,https://www.zalando.co.uk/vero-moda-day-dress-black-sallie-ve121c2h0-q13.html,VMSMILLA , Day dress,summer-dresses,Â£30.99,brown,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Button,Crew neck,Floral,Slip,VE121C2H0-Q13,Short,"24.5 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,girly,0.577508901,1286,,https://www.zalando.co.uk/vila-vimagnolia-belt-dress-day-dress-navy-v1021c30f-k11.html,VIMAGNOLIA BELT DRESS , Day dress,summer-dresses,Â£34.99,navy,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,V-neck,Floral,Belt included,V1021C30F-K11,Knee-length,"25.0 "" (Size 10)","36.5 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,trendy,0.983443934,3507,,https://www.zalando.co.uk/vila-viselena-v-neck-dress-day-dress-blackgreen-v1021c2w4-q11.html,VISELENA V NECK DRESS , Day dress,summer-dresses,Â£34.99,black/green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Animal print,--,V1021C2W4-Q11,Short,"25.5 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,girly,0.920800707,5365,,https://www.zalando.co.uk/vila-vijose-blume-short-ruffle-dress-day-dress-snow-white-v1021c2ff-a11.html,VIJOSE BLUME SHORT RUFFLE DRESS , Day dress,summer-dresses,Â£37.39,white,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,--,V1021C2FF-A11,Short,"25.0 "" (Size 10)","32.0 "" (Size 10)",Regular Fit,--,"15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.829702716,3291,,https://www.zalando.co.uk/boss-c_detelizza-day-dress-navy-bb121c0cl-k11.html,C_DETELIZZA , Day dress,summer-dresses,From Â£159.99,pink,--,--,--,--,"96% cotton, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,--,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-K11,Knee-length,"19.0 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,--,"20.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.906367743,4123,,https://www.zalando.co.uk/bruuns-bazaar-seer-allure-dress-day-dress-faded-blue-br321c05w-q12.html,SEER ALLURE DRESS , Day dress,summer-dresses,Â£99.99,pastel blue,--,--,--,Semi-sheer,"80% polyester, 20% cotton",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Checked,--,BR321C05W-Q12,Short,"17.5 "" (Size 8)","33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.598711069,632,,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-old-rose-jy121c0g3-j11.html,JDYMARY DRESS , Day dress,summer-dresses,Â£19.49,pink,--,--,Sweat,--,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,--,JY121C0G3-J11,Knee-length,"25.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.420011295,543,,https://www.zalando.co.uk/gap-henley-dress-day-dress-blackwatch-plaid-gp021c0kj-k11.html,HENLEY DRESS , Day dress,summer-dresses,Â£54.99,black/green,--,--,Flannel,--,100% cotton,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Checked,"Belt included, bust darts",GP021C0KJ-K11,Short,"23.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.715607824,6519,,https://www.zalando.co.uk/maxandco-damerino-cocktail-dress-party-dress-black-mq921c0ba-q11.html,DAMERINO , Cocktail dress / Party dress,Cocktail Dresses,Â£199.99,black,--,--,--,--,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,--,MQ921C0BA-Q11,Calf-length,"23.5 "" (Size S)","44.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.205662361,7500,,https://www.zalando.co.uk/rich-and-royal-dress-long-printed-day-dress-scarlet-red-ri521c04x-g11.html,DRESS LONG PRINTED , Day dress,Cocktail Dresses,Â£104.99,red,--,--,Jersey,--,"65% modal, 30% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,--,RI521C04X-G11,Calf-length,"24.5 "" (Size S)","49.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.786772418,1489,,https://www.zalando.co.uk/seidensticker-malia-day-dress-dunkelblau-3se21c01l-k11.html,MALIA  , Day dress,summer-dresses,Â£109.99,navy,--,--,--,Semi-sheer,100% linen,--,--,Mandarin collar,--,--,--,Low-cut v-neck,Plain,Inseam pockets,3SE21C01L-K11,Knee-length,Short,"38.5 "" (Size 10)",--,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.88160596,5642,,https://www.zalando.co.uk/vero-moda-vmboa-highneck-short-dress-shirt-dress-pine-grove-ve121c2e2-m11.html,Day dress,,summer-dresses,Â£26.34,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,--,--,Button,--,Plain,Belt included,VE121C2E2-M11,Short,Long,--,Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.482939157,1924,,https://www.zalando.co.uk/superdry-day-dress-black-su221c0ng-q11.html,STRAP BACK  , Shift dress,summer-dresses,Â£34.99,black,--,--,--,--,"58% modal, 42% polyester",--,"Do not bleach, do not tumble dry",--,--,--,--,--,Plain,--,SU221C0NG-Q11,Long,Sleeveless,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.231574605,2279,,https://www.zalando.co.uk/soft-rebels-ulrikke-dress-day-dress-mahogany-r6721c06q-o11.html,ULRIKKE DRESS , Day dress,summer-dresses,Â£69.99,dusty pink,--,--,--,--,"73% modal, 27% polyester",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,R6721C06Q-O11,Knee-length,"18.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.565466948,1566,,https://www.zalando.co.uk/anna-field-day-dress-black-an621c1i6-q12.html,Jersey dress,,summer-dresses,Â£28.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Plain,"Belt included, elasticated waist",AN621C1I6-Q12,Knee-length,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.5788877,6918,,https://www.zalando.co.uk/liu-jo-abito-cocktail-dress-party-dress-whiteblack-li621c06r-q11.html,ABITO , Cocktail dress / Party dress,Cocktail Dresses,Â£214.99,black/white,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Animal print,"Button row, bow",LI621C06R-Q11,Short,"19.5 "" (Size 10)","34.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.945882933,4551,,https://www.zalando.co.uk/mango-marte2-day-dress-kaki-m9121c5kw-n11.html,MARTE2 , Day dress,summer-dresses,Â£49.99,army green,--,--,--,--,"83% modal, 17% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",--,--,--,Button,Low-cut v-neck,Plain,--,M9121C5KW-N11,Calf-length,Extra short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.989102906,649,,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,ONLHANNA SMOCK DRESS , Day dress,summer-dresses,Â£29.74,multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,"Elasticated waist, slip",ON321C2P4-C11,Knee-length,"23.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,--,"14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.101998478,5446,,https://www.zalando.co.uk/evenandodd-2-pack-day-dress-blackgrey-ev421c158-q13.html,2 PACK , Day dress,summer-dresses,Â£24.99,black/grey,--,--,Jersey,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,--,EV421C158-Q13,Knee-length,Elbow length,"32.0 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.382307081,728,,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-mottled-dark-grey-jy121c0px-c11.html,JDYIVY MATHILDE DRESS , Day dress,summer-dresses,Â£16.14,grey,--,--,Sweat,--,"63% polyester, 37% cotton",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",--,--,--,--,Crew neck,Marl,--,JY121C0PX-C11,Short,"25.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.828059089,7380,,https://www.zalando.co.uk/fiorucci-alpine-angels-mini-bodice-dress-cocktail-dress-party-dress-multi-fi921c00k-t11.html,ALPINE ANGELS MINI BODICE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£194.99,bright multi-coloured,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Print,"Wired bustier, bow",FI921C00K-T11,Extra short,"23.0 "" (Size S)","28.5 "" (Size S)",Bodycon,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.396257214,1368,,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,JDYIVY DRESS , Day dress,summer-dresses,Â£17.99,pastel purple,--,--,Sweat,--,"62% cotton, 38% polyester",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Crew neck,Plain,--,JY121C0DG-I11,Knee-length,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.744237777,499,,https://www.zalando.co.uk/superdry-alana-cami-day-dress-autumn-mustard-su221c0nj-e11.html,ALANA , Day dress,summer-dresses,Â£44.99,orange,--,--,--,--,"50% polyester, 50% cotton",--,--,--,--,--,--,--,--,--,SU221C0NJ-E11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.437735551,456,,https://www.zalando.co.uk/only-onlevery-hoodie-dress-day-dress-junebug-on321c2p6-m11.html,ONLEVERY HOODIE DRESS , Day dress,summer-dresses,Â£30.99,dark green,--,--,Sweat,--,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Marl,Inseam pockets,ON321C2P6-M11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.557304469,217,,https://www.zalando.co.uk/vero-moda-vmhenna-wrap-frill-dress-day-dress-laurel-wreath-ve121c2ra-m11.html,VMHENNA WRAP FRILL DRESS , Day dress,summer-dresses,Â£30.99,pastel green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Polka dot,Bust darts,VE121C2RA-M11,Short,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.683509969,1597,,https://www.zalando.co.uk/wal-g-micha-round-neck-skater-dress-day-dress-pastel green-wg021c0so-m11.html,MICHA ROUND NECK SKATER DRESS , Jersey dress,summer-dresses,Â£37.99,pastel blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,--,WG021C0SO-M11,Short,Sleeveless,"38.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.594730492,1173,,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-day-dress-dusk-blue-ond21c05c-k11.html,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,pastel blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-K11,Knee-length,Short,"40.5 "" (Size 8)",Slim Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.390890444,3807,,https://www.zalando.co.uk/see-by-chloe-day-dress-sand-se321e04e-b11.html,Day dress,,summer-dresses,Â£255.00,sand,--,--,Canvas,--,"54% cotton, 44% polyamide, 2% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Low-cut v-neck,Plain,--,SE321E04E-B11,Short,Sleeveless,"35.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
