,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
0,edgy,edgy,2nd Day,AMANDA FLUID  , Cocktail dress / Party dress,Cocktail Dresses,189.99,black,100% polyester,Yes,Satin,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Animal print,Slip,S3821C05Z-Q11,Knee-length,"26.5 "" (Size 8)","41.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)"
1,edgy,edgy,2nd Day,SHERMAN DEMAND , Day dress,summer-dresses,529.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% leather,100% cotton,Clean with leather care products,Hood,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Belt included, inseam pockets",S3821U02Y-Q11,Calf-length,Extra short,"44.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","20.5 "" (Size 10)"
2,sporty,sporty,Ragwear,MASCARPONE , Day dress,summer-dresses,43.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Inseam pockets,R5921C08P-Q11,Knee-length,Extra short,"37.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size S)"
3,girly,girly,Vero Moda,VMSMILLA , Day dress,summer-dresses,30.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,VE121C2H0-Q13,Short,"24.5 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
4,trendy,girly,Vila,VIMAGNOLIA BELT DRESS , Day dress,summer-dresses,34.99,navy,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Floral,Belt included,V1021C30F-K11,Knee-length,"25.0 "" (Size 10)","36.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 10)"
5,trendy,trendy,Vila,VISELENA V NECK DRESS , Day dress,summer-dresses,34.99,black/green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Animal print,Slip,V1021C2W4-Q11,Short,"25.5 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
6,alternative,girly,Vila,VIJOSE BLUME SHORT RUFFLE DRESS , Day dress,summer-dresses,37.39,white,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,V1021C2FF-A11,Short,"25.0 "" (Size 10)","32.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 10)"
7,classic,classic,BOSS,C_DETELIZZA , Day dress,summer-dresses,34.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,"96% cotton, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Belt included, inseam pockets",BB121C0CL-K11,Knee-length,"19.0 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","20.5 "" (Size 8)"
8,girly,girly,Bruuns Bazaar,SEER ALLURE DRESS , Day dress,summer-dresses,99.99,pastel blue,100% polyester,Yes,Chiffon,Semi-sheer,"80% polyester, 20% cotton",100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Checked,Slip,BR321C05W-Q12,Short,"17.5 "" (Size 8)","33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
9,sporty,sporty,JDY,JDYMARY DRESS , Day dress,summer-dresses,19.49,pink,100% polyester,Yes,Sweat,Semi-sheer,"65% polyester, 35% viscose",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,JY121C0G3-J11,Knee-length,"25.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
