,Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
819,,https://www.zalando.co.uk/desigual-woman-tops-template-shirt-dress-tutti-fruti-de121c0zg-t11.html,Desigual,WOMAN TOPS TEMPLATE  ,109.99,3,multi-coloured,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,Button,Button down dresses,--,Prints in general,--,DE121C0ZG-T11,Short,"25.0 "" (Size M)",Long,"34.5 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)",No,No,No,No,No
820,,https://www.zalando.co.uk/superdry-day-dress-glacier-grey-marl-su221c0oo-c12.html,Superdry,Day dress,54.99,2,grey,--,"55% cotton, 45% polyester",--,"Do not bleach, do not tumble dry",Hood,--,--,Hooded dresses,--,--,--,SU221C0OO-C12,--,Long,Long,--,--,,--,--,No,No,No,No,No
821,,https://www.zalando.co.uk/glamorous-bloom-bow-dress-day-dress-navy-gli29f001-k11.html,Glamorous,BOW MIDI DRESS ,34.99,1,navy,--,"55% polyester, 45% cotton",--,"Hand wash only, Dry cleanable",Standing collar,--,--,Accentuating the waist,Low v-neck,Plain,Belt included,GLI29F001-K11,Calf length,Elbow length,Elbow length,"42.0 "" (Size 8)",Regular Fit,Regular fit,--,"17.0 "" (Size 8)",No,No,No,No,No
822,,https://www.zalando.co.uk/na-kd-smocked-waist-mini-dress-day-dress-orange-naa21c0om-h11.html,NA-KD,SMOCKED WAIST MINI DRESS ,49.99,2,orange,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Wrap dresses,Low v-neck,Floral,--,NAA21C0OM-H11,Short,"27.0 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,--,"17.0 "" (Size 8)",No,No,No,No,No
823,,https://www.zalando.co.uk/moss-copenhagen-wagna-dress-day-dress-blue-nights-m0y21c08p-k11.html,Moss Copenhagen,WAGNA DRESS ,79.99,2,black/white,Knit,"48% viscose, 35% nylon, 12% wool, 5% alpaca",--,"Hand wash only, do not tumble dry",--,--,--,,Round neckline,Striped,--,M0Y21C08P-K11,Knee length,"17.0 "" (Size S/M)",Elbow length,"44.5 "" (Size S/M)",Regular Fit,Regular fit,--,--,No,No,No,No,No
824,,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-pink-sea-p1421c0j2-j11.html,Patrizia Pepe,ABITO DRESS ,274.99,5,white multi-coloured,--,"86% polyester, 14% elastane",--,Hand wash only,--,--,Zip,,Round neckline,Floral,--,P1421C0J2-J11,Calf length,"29.0 "" (Size 10)",Long,"48.5 "" (Size 10)",Slim Fit,Slim fit,--,"16.0 "" (Size 10)",No,No,No,No,No
825,,https://www.zalando.co.uk/pieces-pchilda-dress-day-dress-blackpurple-pe321c184-q11.html,Pieces,PCHILDA DRESS ,34.99,1,black,--,100% polyester,--,--,Turn-down collar,--,Button,Button down dresses,--,Floral,"Belt included, bust darts",PE321C184-Q11,Calf length,"24.5 "" (Size S)",Long,"45.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
826,,https://www.zalando.co.uk/hugo-daserena-redlabel-day-dress-black-hu721c0hr-q11.html,HUGO,DASERENA LABEL ,149.99,4,black,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,Hooded dresses,--,Plain,"Elasticated waist, embroidery",HU721C0HR-Q11,Knee length,"25.0 "" (Size S)",Long,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,Yes,No,No,No
827,,https://www.zalando.co.uk/vero-moda-curve-vmakela-day-dress-light-blue-denimwhite-vee21c071-k11.html,Vero Moda,VMAKELA ,34.99,1,blue,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,--,--,,Low v-neck,Striped,Bust darts,VEE21C071-K11,Knee length,Elbow length,Elbow length,"35.0 "" (Size 16)",Loose Fit,Loose fit,--,"15.5 "" (Size 16)",No,No,No,No,No
828,,https://www.zalando.co.uk/diane-von-furstenberg-kent-dress-cocktail-dress-party-dress-blue-df221c0bt-k11.html,Diane von Furstenberg,KENT DRESS ,625.00,5,blue,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,--,Zip,Accentuating the waist,--,Floral,"Belt included, slip",DF221C0BT-K11,Calf length,"28.5 "" (Size 8)",Long,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
