link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/wal-g-v-neck-skater-jersey-dress-black-wg021c08q-q11.html,WAL G.,PLAIN NECK SKATER , Cocktail dress / Party dress,Cocktail Dresses,Â£29.99,video overlay,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Padded bust, wired bustier",WG021C08Q-Q11,Extra short,Sleeveless,"34.0 "" (Size 10)",Fitted waist,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/glamorous-curve-midi-dress-with-trim-collar-and-puff-12-sleeves-cocktail-dress-party-dress-whitepink-gla21c097-j11.html,Glamorous Curve,MIDI DRESS WITH TRIM COLLAR & PUFF 1/2 SLEEVES , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,white/pink ,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Peter Pan collar,--,--,Zip,--,Print,Bust darts,GLA21C097-J11,Calf-length,Elbow length,"51.5 "" (Size 16)",Slim Fit,--,"14.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-detail-mini-dress-cocktail-dress--party-dress-black-wg021c05w-q11.html,WAL G.,DETAIL MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£48.99,black,--,--,Lace,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Button,--,Plain,"Bust darts, padded bust, slip",WG021C05W-Q11,Extra short,"25.0 "" (Size 10)","36.5 "" (Size 10)",Small,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-black-gid21c05o-q11.html,Gina Tricot,EXCLUSIVE MERIDIANDRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£29.74,black,--,--,Chiffon,--,100% polyester,100% polyester,--,--,Asymmetrical,--,Zip,--,Plain,"Elasticated waist, slip",GID21C05O-Q11,Extra short,"26.0 "" (Size 8)","28.0 "" (Size 8)",Regular Fit,--,"10.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-black-gid21c05o-q11.html,Gina Tricot,EXCLUSIVE MERIDIANDRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£29.74,spring garden,--,--,Chiffon,--,100% polyester,100% polyester,--,--,Asymmetrical,--,Zip,--,Plain,"Elasticated waist, slip",GID21C05O-Q11,Extra short,"26.0 "" (Size 8)","28.0 "" (Size 8)",Regular Fit,--,"10.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-foil-day-dress-bleu-marine-na521c0ma-k11.html,NAF NAF,FOIL , Cocktail dress / Party dress,Cocktail Dresses,Â£51.99,video overlay,--,--,--,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Polka dot,"Bust darts, slip",NA521C0MA-K11,Short,"24.5 "" (Size 10)","35.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/forever-new-carolina-flutter-sleeve-midi-dress-cocktail-dress-party-dress-nude-fod21c0fw-j11.html,Forever New,CAROLINA FLUTTER SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,nude,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Cache-coeur,Plain,Belt included,FOD21C0FW-J11,Calf-length,Short,"51.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-dress-black-wg021c03x-q11.html,WAL G.,PLUNGE NECKLICE WITH SLEEVES DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£31.99,black,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,"Bust darts, wired bustier",WG021C03X-Q11,Extra short,Extra short,"26.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-dress-black-wg021c03x-q11.html,WAL G.,PLUNGE NECKLICE WITH SLEEVES DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£31.99,coral,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,"Bust darts, wired bustier",WG021C03X-Q11,Extra short,Extra short,"26.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
