"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"alternative",0.9990761965184094,5.286477952490627E-4,8.428443370198156E-5,2.642661695126921E-4,4.3964562683075696E-7,8.358106288281175E-12,4.6165429142176645E-5,0,819,"Desigual","WOMAN TOPS TEMPLATE  ",109.99,3,"multi-coloured",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Button","Button down dresses",,"Prints in general",,"Short","25.0 "" (Size M)","Long","34.5 "" (Size M)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)","No","No","No","No","No","trendy"
"sporty",3.038526909902555E-11,6.675195307243986E-14,2.001565898589749E-14,2.6461458163475967E-12,1.7902322843361204E-18,0.9999999999668265,5.5350175016338186E-14,1,820,"Superdry","Day dress",54.99,2,"grey",,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry","Hood",,,"Hooded dresses",,,,,"Long","Long",,,,,,"No","No","No","No","No","sporty"
"classic",9.025580745716902E-5,9.8292644431206E-4,0.9988835327702466,1.7494430385154983E-5,7.199026930139776E-6,1.914226561055352E-8,1.8572378403448473E-5,2,821,"Glamorous","BOW MIDI DRESS ",34.99,1,"navy",,"55% polyester, 45% cotton",,"Hand wash only, Dry cleanable","Standing collar",,,"Accentuating the waist","Low v-neck","Plain","Belt included","Calf length","Elbow length","Elbow length","42.0 "" (Size 8)","Regular Fit","Regular fit",,"17.0 "" (Size 8)","No","No","No","No","No","classic"
"alternative",0.8876477286598764,4.0520019750834674E-4,0.0905971892657206,0.007441272527153777,0.0029400826974350794,3.1716179873184604E-11,0.010968526620589676,3,822,"NA-KD","SMOCKED WAIST MINI DRESS ",49.99,2,"orange",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Floral",,"Short","27.0 "" (Size 8)","Long","36.5 "" (Size 8)","Regular Fit","Regular fit",,"17.0 "" (Size 8)","No","No","No","No","No","alternative"
"classic",1.6136945220386236E-6,2.040529793685204E-5,0.9999729188349251,2.3584915640620827E-6,1.921809145940272E-6,7.541373806204572E-8,7.06458167797242E-7,4,823,"Moss Copenhagen","WAGNA DRESS ",79.99,2,"black/white","Knit","48% viscose, 35% nylon, 12% wool, 5% alpaca",,"Hand wash only, do not tumble dry",,,,,"Round neckline","Striped",,"Knee length","17.0 "" (Size S/M)","Elbow length","44.5 "" (Size S/M)","Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"girly",1.4619532439857558E-6,1.3515432878794215E-5,3.609005902896945E-4,0.0014148267858681465,0.9962027193840893,3.6405515920982786E-15,0.0020065758536265007,5,824,"Patrizia Pepe","ABITO DRESS ",274.99,5,"white multi-coloured",,"86% polyester, 14% elastane",,"Hand wash only",,,"Zip",,"Round neckline","Floral",,"Calf length","29.0 "" (Size 10)","Long","48.5 "" (Size 10)","Slim Fit","Slim fit",,"16.0 "" (Size 10)","No","No","No","No","No","girly"
"alternative",0.9547924381605915,0.03820411012966948,0.004900808713181032,0.0020593776797688686,3.83256713974341E-5,3.836803340031113E-13,4.939645008187016E-6,6,825,"Pieces","PCHILDA DRESS ",34.99,1,"black",,"100% polyester",,,"Turn-down collar",,"Button","Button down dresses",,"Floral","Belt included, bust darts","Calf length","24.5 "" (Size S)","Long","45.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","alternative"
"sporty",1.7422591741341027E-15,3.1228180153002235E-18,4.34211394666527E-15,1.7688693913747543E-11,1.1763460334339872E-20,0.9999999999823044,9.62293417825344E-16,7,826,"HUGO","DASERENA LABEL ",149.99,4,"black","Sweat","100% cotton",,"Do not tumble dry, machine wash at 30Â°C","Hood",,,"Hooded dresses",,"Plain","Elasticated waist, embroidery","Knee length","25.0 "" (Size S)","Long","36.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size S",,"No","Yes","No","No","No","sporty"
"alternative",0.5599760817469853,0.4267102538338938,0.013132004646199241,5.5753847893638775E-6,1.7507944588115822E-4,1.6234304934220658E-10,1.0047799080602144E-6,8,827,"Vero Moda","VMAKELA ",34.99,1,"blue",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C","Mandarin collar",,,,"Low v-neck","Striped","Bust darts","Knee length","Elbow length","Elbow length","35.0 "" (Size 16)","Loose Fit","Loose fit",,"15.5 "" (Size 16)","No","No","No","No","No","casual chic"
"trendy",1.484359173354334E-18,6.857574783427078E-18,0.2608165636681594,8.018369341638774E-4,0.01827966952222477,1.261441689823955E-40,0.720101929875452,9,828,"Diane von Furstenberg","KENT DRESS ",625.0,5,"blue","Chiffon","100% viscose","100% polyester","Dry clean only","Standing collar",,"Zip","Accentuating the waist",,"Floral","Belt included, slip","Calf length","28.5 "" (Size 8)","Long","48.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)","No","No","No","No","No","trendy"
