,Random order,Original order,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Sport
0,0.939574666,1015,Desigual,WOMAN TOPS TEMPLATE  , Day dress,summer-dresses,109.99,multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Print,,DE121C0ZG-T11,Short,"25.0 "" (Size M)","34.5 "" (Size M)",Loose Fit,"Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)",,,,,,,,,,
1,0.652323353,3360,Superdry,Day dress,,summer-dresses,54.99,grey,,,,,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry",,,,,,,,SU221C0OO-C12,,,,,,,,,,,,,,,,
2,0.015418143999999998,2414,Glamorous Bloom,BOW MIDI DRESS , Day dress,summer-dresses,34.99,navy,,,,,"55% polyester, 45% cotton",,"Hand wash only, Dry cleanable",Standing collar,,,,Low-cut v-neck,Plain,Belt included,GLI29F001-K11,Calf-length,Elbow length,"42.0 "" (Size 8)",Regular Fit,,"17.0 "" (Size 8)",,,,,,,,,,
3,0.30427404199999997,3146,NA-KD,SMOCKED WAIST MINI DRESS , Day dress,summer-dresses,49.99,orange,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Floral,,NAA21C0OM-H11,Short,"27.0 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,,"17.0 "" (Size 8)",,,,,,,,,,
4,0.09595903199999999,1264,Moss Copenhagen,WAGNA DRESS , Day dress,summer-dresses,79.99,black/white,,,Knit,,"48% viscose, 35% nylon, 12% wool, 5% alpaca",,"Hand wash only, do not tumble dry",,,,,Crew neck,Striped,,M0Y21C08P-K11,Knee-length,"17.0 "" (Size S/M)","44.5 "" (Size S/M)",Regular Fit,,,,,,,,,,,,
5,0.997917782,5887,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,274.99,white multi-coloured,,,,,"86% polyester, 14% elastane",,Hand wash only,,,,Zip,Crew neck,Floral,,P1421C0J2-J11,Calf-length,"29.0 "" (Size 10)","48.5 "" (Size 10)",Slim Fit,,"16.0 "" (Size 10)",,,,,,,,,,
6,0.8241065590000001,1282,Pieces,PCHILDA DRESS , Day dress,summer-dresses,34.99,black,,,,,100% polyester,,,Turn-down collar,,,Button,,Floral,"Belt included, bust darts",PE321C184-Q11,Calf-length,"24.5 "" (Size S)","45.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",,,,,,,,,,
7,0.538795963,5851,HUGO,DASERENA LABEL , Day dress,summer-dresses,149.99,black,,,Sweat,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Hood,,Hoodie pocket,,,Marl,"Elasticated waist, embroidery",HU721C0HR-Q11,Knee-length,"25.0 "" (Size S)","36.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,
8,0.008098805,5926,Vero Moda Curve,VMAKELA , Day dress,summer-dresses,34.99,blue,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Mandarin collar,,,,Low-cut v-neck,Striped,Bust darts,VEE21C071-K11,Knee-length,"17.0 "" (Size 16)","35.0 "" (Size 16)",Loose Fit,,"15.5 "" (Size 16)",,,,,,,,,,
9,0.19112763600000002,6743,Diane von Furstenberg,KENT DRESS , Cocktail dress / Party dress,Cocktail Dresses,625.0,blue,,,Chiffon,,100% viscose,100% polyester,Dry clean only,Standing collar,,,Zip,,Floral,"Belt included, slip",DF221C0BT-K11,Calf-length,"28.5 "" (Size 8)","48.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",,,,,,,,,,
