,Unnamed: 0,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
0,819,Desigual,WOMAN TOPS TEMPLATE  ,109.99,3,multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Prints in general,,Short,"25.0 "" (Size M)",Long,"34.5 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)",No,No,No,No,No,trendy
1,820,Superdry,Day dress,54.99,2,grey,,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry",Hood,,,Hooded dresses,,,,,Long,Long,,,,,,No,No,No,No,No,sporty
2,821,Glamorous,BOW MIDI DRESS ,34.99,1,navy,,"55% polyester, 45% cotton",,"Hand wash only, Dry cleanable",Standing collar,,,Accentuating the waist,Low v-neck,Plain,Belt included,Calf length,Elbow length,Elbow length,"42.0 "" (Size 8)",Regular Fit,Regular fit,,"17.0 "" (Size 8)",No,No,No,No,No,classic
3,822,NA-KD,SMOCKED WAIST MINI DRESS ,49.99,2,orange,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,,Short,"27.0 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,,"17.0 "" (Size 8)",No,No,No,No,No,alternative
4,823,Moss Copenhagen,WAGNA DRESS ,79.99,2,black/white,Knit,"48% viscose, 35% nylon, 12% wool, 5% alpaca",,"Hand wash only, do not tumble dry",,,,,Round neckline,Striped,,Knee length,"17.0 "" (Size S/M)",Elbow length,"44.5 "" (Size S/M)",Regular Fit,Regular fit,,,No,No,No,No,No,classic
5,824,Patrizia Pepe,ABITO DRESS ,274.99,5,white multi-coloured,,"86% polyester, 14% elastane",,Hand wash only,,,Zip,,Round neckline,Floral,,Calf length,"29.0 "" (Size 10)",Long,"48.5 "" (Size 10)",Slim Fit,Slim fit,,"16.0 "" (Size 10)",No,No,No,No,No,girly
6,825,Pieces,PCHILDA DRESS ,34.99,1,black,,100% polyester,,,Turn-down collar,,Button,Button down dresses,,Floral,"Belt included, bust darts",Calf length,"24.5 "" (Size S)",Long,"45.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,alternative
7,826,HUGO,DASERENA LABEL ,149.99,4,black,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,"Elasticated waist, embroidery",Knee length,"25.0 "" (Size S)",Long,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,Yes,No,No,No,sporty
8,827,Vero Moda,VMAKELA ,34.99,1,blue,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,,,,Low v-neck,Striped,Bust darts,Knee length,Elbow length,Elbow length,"35.0 "" (Size 16)",Loose Fit,Loose fit,,"15.5 "" (Size 16)",No,No,No,No,No,casual chic
9,828,Diane von Furstenberg,KENT DRESS ,625.0,5,blue,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,,Zip,Accentuating the waist,,Floral,"Belt included, slip",Calf length,"28.5 "" (Size 8)",Long,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,trendy
