IndexID,Unnamed: 0,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
0,819,,https://www.zalando.co.uk/desigual-woman-tops-template-shirt-dress-tutti-fruti-de121c0zg-t11.html,Desigual,"WOMAN TOPS TEMPLATE  ",109.99,3,multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Prints in general,,Short,"25.0 "" (Size M)",Long,"34.5 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size M","13.5 "" (Size M)",No,No,No,No,No,trendy
1,820,,https://www.zalando.co.uk/superdry-day-dress-glacier-grey-marl-su221c0oo-c12.html,Superdry,Day dress,54.99,2,grey,,"55% cotton, 45% polyester",,"Do not bleach, do not tumble dry",Hood,,,Hooded dresses,,,,,Long,Long,,,,,,No,No,No,No,No,sporty
2,821,,https://www.zalando.co.uk/glamorous-bloom-bow-dress-day-dress-navy-gli29f001-k11.html,Glamorous,"BOW MIDI DRESS ",34.99,1,navy,,"55% polyester, 45% cotton",,"Hand wash only, Dry cleanable",Standing collar,,,Accentuating the waist,Low v-neck,Plain,Belt included,Calf length,Elbow length,Elbow length,"42.0 "" (Size 8)",Regular Fit,Regular fit,,"17.0 "" (Size 8)",No,No,No,No,No,classic
3,822,,https://www.zalando.co.uk/na-kd-smocked-waist-mini-dress-day-dress-orange-naa21c0om-h11.html,NA-KD,"SMOCKED WAIST MINI DRESS ",49.99,2,orange,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,,Short,"27.0 "" (Size 8)",Long,"36.5 "" (Size 8)",Regular Fit,Regular fit,,"17.0 "" (Size 8)",No,No,No,No,No,alternative
4,823,,https://www.zalando.co.uk/moss-copenhagen-wagna-dress-day-dress-blue-nights-m0y21c08p-k11.html,Moss Copenhagen,"WAGNA DRESS ",79.99,2,black/white,Knit,"48% viscose, 35% nylon, 12% wool, 5% alpaca",,"Hand wash only, do not tumble dry",,,,,Round neckline,Striped,,Knee length,"17.0 "" (Size S/M)",Elbow length,"44.5 "" (Size S/M)",Regular Fit,Regular fit,,,No,No,No,No,No,classic
5,824,,https://www.zalando.co.uk/patrizia-pepe-abito-dress-day-dress-pink-sea-p1421c0j2-j11.html,Patrizia Pepe,"ABITO DRESS ",274.99,5,white multi-coloured,,"86% polyester, 14% elastane",,Hand wash only,,,Zip,,Round neckline,Floral,,Calf length,"29.0 "" (Size 10)",Long,"48.5 "" (Size 10)",Slim Fit,Slim fit,,"16.0 "" (Size 10)",No,No,No,No,No,girly
6,825,,https://www.zalando.co.uk/pieces-pchilda-dress-day-dress-blackpurple-pe321c184-q11.html,Pieces,"PCHILDA DRESS ",34.99,1,black,,100% polyester,,,Turn-down collar,,Button,Button down dresses,,Floral,"Belt included, bust darts",Calf length,"24.5 "" (Size S)",Long,"45.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,alternative
7,826,,https://www.zalando.co.uk/hugo-daserena-redlabel-day-dress-black-hu721c0hr-q11.html,HUGO,"DASERENA LABEL ",149.99,4,black,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,"Elasticated waist, embroidery",Knee length,"25.0 "" (Size S)",Long,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,Yes,No,No,No,sporty
8,827,,https://www.zalando.co.uk/vero-moda-curve-vmakela-day-dress-light-blue-denimwhite-vee21c071-k11.html,Vero Moda,"VMAKELA ",34.99,1,blue,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,,,,Low v-neck,Striped,Bust darts,Knee length,Elbow length,Elbow length,"35.0 "" (Size 16)",Loose Fit,Loose fit,,"15.5 "" (Size 16)",No,No,No,No,No,casual chic
9,828,,https://www.zalando.co.uk/diane-von-furstenberg-kent-dress-cocktail-dress-party-dress-blue-df221c0bt-k11.html,Diane von Furstenberg,"KENT DRESS ",625.0,5,blue,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,,Zip,Accentuating the waist,,Floral,"Belt included, slip",Calf length,"28.5 "" (Size 8)",Long,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,trendy
10,829,,https://www.zalando.co.uk/cotton-on-petite-petite-dress-shift-dress-black-c6a21c008-q11.html,Cotton On,"PETITE DRESS ",28.99,1,black,Rib,"72% viscose, 28% polyamide",,Hand wash only,Turn-down collar,,,Bodycon dresses,Low v-neck,Plain,,Extra short,Short,Short,"33.5 "" (Size S)",Bodycon,Slim fit,,,No,No,No,No,No,unknown
11,830,,https://www.zalando.co.uk/esprit-collection-day-dress-navy-es421c1lm-k12.html,Esprit,Day dress,75.0,2,navy,,"86% cotton, 13% polyamide, 1% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Striped,Slip,Calf length,Elbow length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
12,831,,https://www.zalando.co.uk/tommy-hilfiger-regular-hoodie-short-sweatshirt-black-to121c0j1-q11.html,Tommy Hilfiger,"REGULAR HOODIE DRESS ",84.49,3,black,Sweat,100% cotton,,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,"Inseam pockets, elasticated waist",Knee length,"25.0 "" (Size S)",Long,"39.0 "" (Size S)",Regular Fit,Regular fit,,,No,yes,No,No,No,sporty
13,832,,https://www.zalando.co.uk/ivy-and-oak-bridal-jolanda-occasion-wear-snow-white-iv521c026-a11.html,"IVY & OAK ","JOLANDA ",279.99,5,white,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Round neckline,Plain,"Button row, bust darts, slip, decorative buttons",Calf length,"25.5 "" (Size 8)",Long,"49.0 "" (Size 8)",Regular Fit,Regular fit,,"13.5 "" (Size 8)",No,No,No,No,No,girly
14,833,,https://www.zalando.co.uk/michael-michael-kors-spring-bud-midi-dress-day-dress-sangria-mk121c0kn-i11.html,MICHAEL Michael Kors,"SPRING BUD MIDI DRESS ",234.99,5,burgundy,,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Low v-neck,Floral,"Belt included, slip",Calf length,"24.5 "" (Size S)",Long,"48.5 "" (Size S)",Regular Fit,Regular fit,,"15.0 "" (Size S)",No,No,No,No,No,classic
15,834,,https://www.zalando.co.uk/only-day-dress-off-white-on321c1jd-a11.html,Only,"ONLTYRA LIFE SHORT DRESS ",34.99,1,white,,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",,,Button,,Round neckline,Plain,"Slip, Crochet Detailing",Short,3/4 length,Elbow length,"36.0 "" (Size 10)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
16,835,,https://www.zalando.co.uk/superdry-day-dress-eclipse-navy-su221c0nj-k11.html,Superdry,"ALANA ",44.99,2,navy,,100% viscose,,"Do not bleach, do not tumble dry",,,Button,,Low round neckline,Plain,Border,Short,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,,,No,Yes,No,No,No,alternative
17,837,,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-white-d0t21c011-i11.html,David Koma,Cocktail dress / Party dress,510.0,5,white,Rib,"75% viscose, 23% nylon, 2% elastane",,Dry clean only,,,Hook fasteningÂ ,Bodycon dresses,Round neckline,Plain,,Extra short,Long,Long,"33.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,No,No,Yes,trendy
18,838,,https://www.zalando.co.uk/needle-and-thread-waltzing-blooms-ruffle-gown-occasion-wear-moonshine-nt521c0g5-j11.html,Needle & Thread,"WALTZING BLOOMS RUFFLE GOWN ",359.99,5,white multi-coloured,Tulle,100% nylon,100% polyester,Dry cleanable,,,Zip,,Low v-neck,Floral,Slip,Maxi/long,Short,Short,"58.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,girly
19,839,,https://www.zalando.co.uk/diane-von-furstenberg-kora-dress-day-dress-green-df221c0bo-m11.html,Diane von Furstenberg,"KORA DRESS ",285.0,5,black/green,,100% polyester,,Dry clean only,,,,Accentuating the waist,Low v-neck,Prints in general,"Belt included, inseam pockets",Knee length,Short,Short,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,yes,No,No,No,trendy
20,840,,https://www.zalando.co.uk/tommy-jeans-curve-badge-crew-dress-day-dress-twilight-navy-t2c21c009-k11.html,Tommy Hilfiger,"BADGE CREW DRESS ",79.99,2,navy,Sweat,"70% cotton, 30% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,,Plain,"Inseam pockets, elasticated waist",Short,"25.0 "" (Size 20)",Long,"36.0 "" (Size 20)",Loose Fit,Loose fit,,,No,yes,No,No,No,sporty
