,Article number,Back material,Back width,Bottom part material,Care instructions,Collar,Contains non-textile parts of animal origin,Cut,Details,Fabric,Fastening,Filling,Fit,Front material,Insert material,Jacket length,Length,Licensed characters,Lining,Middle part material,Neckline,Our model's height,Outer fabric material,Outer leg length,Pattern,Pockets,Sheer,Sleeve length,Sleeve length.1,Sleeves material,Sport,Top part material,Total length,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,category,color,day dress,description,heading1,link,price
0,BB121C0CV-M11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt included,Rib,Button,--,Regular Fit,--,--,--,Calf-length,--,--,--,Crew neck,--,"68% viscose, 32% polyester",--,Plain,--,--,Extra short,--,--,--,--,"45.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,open green, Day dress,EMAURA ,BOSS,https://www.zalando.co.uk/boss-emaura-cocktail-dress-party-dress-open-green-bb121c0cv-m11.html,Â£219.99
1,BB121C0CV-M11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt included,Rib,Button,--,Regular Fit,--,--,--,Calf-length,--,--,--,Crew neck,--,"68% viscose, 32% polyester",--,Plain,--,--,Extra short,--,--,--,--,"45.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,pink, Day dress,EMAURA ,BOSS,https://www.zalando.co.uk/boss-emaura-cocktail-dress-party-dress-open-green-bb121c0cv-m11.html,Â£219.99
2,BB121C0CL-A11,--,"17.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,"Belt included, inseam pockets",--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,--,"96% cotton, 4% elastane",--,Plain,--,Semi-sheer,"19.5 "" (Size 8)",--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,white, Day dress,C_DETELIZZA ,BOSS,https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,Â£159.99
3,BB121C0CL-A11,--,"17.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,"Belt included, inseam pockets",--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,--,"96% cotton, 4% elastane",--,Plain,--,Semi-sheer,"19.5 "" (Size 8)",--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,navy, Day dress,C_DETELIZZA ,BOSS,https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,Â£159.99
4,BB121C0CL-A11,--,"17.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,"Belt included, inseam pockets",--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,--,"96% cotton, 4% elastane",--,Plain,--,Semi-sheer,"19.5 "" (Size 8)",--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,pink, Day dress,C_DETELIZZA ,BOSS,https://www.zalando.co.uk/boss-c_detelizza-day-dress-white-bb121c0cl-a11.html,Â£159.99
5,SU221C0IE-Q11,--,--,--,Machine wash at 30Â°C,--,--,--,Inseam pockets,--,--,--,--,--,--,--,Knee-length,--,--,--,Backless,--,100% viscose,--,Plain,--,--,Short,--,--,--,--,"42.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,KALA SMOCKED MIDI DRESS ,Superdry,https://www.zalando.co.uk/superdry-kala-smocked-midi-dress-day-dress-black-su221c0ie-q11.html,Â£31.49
6,AN621C1P1-M11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,"Belt included, underskirt",--,Button,--,Regular Fit,--,--,--,Short,--,100% polyester,--,--,"Our model is 5' 10""  tall and is wearing size 8",100% polyester,--,Plain,--,--,"24.0 "" (Size 8)",--,--,--,--,"35.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark green, Day dress,DRESS ,Anna Field,https://www.zalando.co.uk/anna-field-dress-day-dress-dark-green-an621c1p1-m11.html,Â£31.49
7,RD521C0LM-T11,--,"19.5 "" (Size S)",--,"Do not tumble dry, Hand wash only",Standing collar,--,--,Decorative buttons,--,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,Floral,--,--,"21.5 "" (Size S)",--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,ecru, Day dress,ACACIA ROBE ,Derhy,https://www.zalando.co.uk/derhy-day-dress-ecru-rd521c0lm-t11.html,Â£74.99
8,JD521C003-C11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,Sweat,--,--,Loose Fit,--,--,--,Knee-length,--,--,--,--,--,"65% polyester, 35% viscose",--,Marl,--,--,"27.5 "" (Size S)",--,--,--,--,"42.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark grey melange, Day dress,JDYMARY DRESS ,JDY Tall,https://www.zalando.co.uk/jdy-tall-jdymary-dress-day-dress-dark-grey-melange-jd521c003-c11.html,Â£22.09
9,RD521C0M0-T11,--,"11.5 "" (Size S)",--,Hand wash only,--,--,--,Slip,--,--,--,Loose Fit,--,--,--,Short,--,100% cotton,--,Low-cut v-neck,--,100% cotton,--,Floral,--,Semi-sheer,Elbow length,--,--,--,--,"35.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,lilas/mauve, Day dress,ALBIZIA ROBE ,Derhy,https://www.zalando.co.uk/derhy-day-dress-lilasmauve-rd521c0m0-t11.html,Â£89.99
